rank,composite_score,siren,company_name,naf_code,employee_band,open_establishments,city,postal_code,address,created,category,latitude,longitude
1,46,841889975,DRONE EXPERTISE CENTRE (DRONE EXPERTISE CENTRE),71.20B,02,3,BAULE,45130,ZA DES BREDANES 5100 RUE DU PONT 45130 BAULE,2018-08-22,PME,47.80608,1.655612
2,45,829385202,DRONE CONSULTING (O.D.O. ENERGIES),71.20B,03,2,GARDANNE,13120,ZA AVON 314 CHEMIN DU TERRIL 13120 GARDANNE,2017-04-26,PME,43.461294,5.501886
3,43,811794601,AZUR DRONES,74.90B,21,2,MERIGNAC,33700,2 RUE VERT CASTEL 33700 MERIGNAC,2015-06-01,ETI,44.850466,-0.68445
4,38,798408563,DRONE ON AIR (DRONE ON AIR),59.11B,11,2,LA HAIE-FOUASSIERE,44690,10 RUE MELROSE 44690 LA HAIE-FOUASSIERE,2013-11-01,PME,47.167676,-1.390934
5,38,828427872,DIODON DRONE TECHNOLOGY,71.12B,12,1,LABEGE,31670,436 RUE PIERRE ET MARIE CURIE 31670 LABEGE,2017-02-23,PME,43.544152,1.513249
6,35,801525932,DRONE EXPERT SERVICES,74.20Z,02,1,CROISSY-SUR-SEINE,78290,ESPACE CLAUDE MONET BAT H 15 ALLEE DES SABLIERES 78290 CROISSY-SUR-SEINE,2014-05-01,PME,48.875418,2.125539
7,35,841519747,ABELIO,71.12B,12,1,TOULOUSE,31000,11 RUE ANTOINE DARQUIER 31000 TOULOUSE,2018-07-07,PME,43.594748,1.446549
8,35,827837832,INSTADRONE,71.12B,12,1,VILLENEUVE-LES-BEZIERS,34500,21 RUE SAINT-VICTOR 34500 VILLENEUVE-LES-BEZIERS,2017-02-01,PME,43.333595,3.280745
9,32,841182678,SAS DRONE SERVICES,71.12B,01,1,ROULLET-SAINT-ESTEPHE,16440,6 RUE VIEILLES PIERRES LA RABERIE 16440 ROULLET-SAINT-ESTEPHE,2018-06-22,PME,45.592839,0.076767
10,31,810401430,ENERGY DRONE (ENERGY DRONE),71.12B,01,2,BOURECQ,62190,7 RUE BOLLET 62190 BOURECQ,2015-04-06,PME,50.574339,2.434326
11,31,844743567,DRONE XTR,74.90B,02,2,LE HAVRE,76620,275 RUE LOUIS BLERIOT 76620 LE HAVRE,2018-12-19,PME,49.531123,0.093202
12,31,838519395,BATHY DRONE SOLUTIONS (BATHYDRONE SOLUTIONS),71.20B,02,1,GAUCHIN-LEGAL,62150,140 RUE BOCQUET 62150 GAUCHIN-LEGAL,2018-04-01,PME,50.413919,2.580423
13,31,847629946,EHATECH (USE DRONE),71.12B,02,1,FREMICOURT,62450,10 GRAND'RUE 62450 FREMICOURT,2019-01-18,PME,50.110947,2.901886
14,31,800543936,OPUS INGENIERIE (OPUS INGENIERIE /OPUS DRONE),71.12B,02,1,LOUVIERS,27400,17 RUE DU PORT 27400 LOUVIERS,2014-02-08,PME,49.205669,1.176132
15,31,818209132,ABSOLUT CONSULTING (ABSOLUT CONSULTING),71.12B,01,2,PAU,64000,11 RUE DES 3 FRERES BERNADAC 64000 PAU,2016-02-03,PME,43.301266,-0.374496
16,30,812376358,DRONE ACT,72.19Z,11,1,MALESTROIT,56140,28 T PLACE DU DOCTEUR JEAN QUEINNEC 56140 MALESTROIT,2015-08-01,PME,47.809378,-2.385032
17,30,790789259,SPAD SERVICES ET PHOTOS AERIENS PAR DRONE,74.20Z,NN,1,LUE,40210,1136 QUARTIER GILLET 40210 LUE,2013-01-14,PME,44.21005,-0.984026
18,30,851399915,SEBASTIEN IMBERT (SI-DRONE),74.20Z,NN,3,GRENADE,31330,VILLA 3 3 IMPASSE D'OPALE 31330 GRENADE,2019-06-24,PME,43.775302,1.286219
19,30,830870689,FRANCOIS WECKERLE (DRONE HORIZON 360),74.20Z,NN,3,DIJON,21000,9 RUE MAGENTA 21000 DIJON,2017-07-15,PME,47.312833,5.048948
20,29,887953180,DRONE INSPECTION (DRONE INSPECTION),71.20B,NN,1,CHATEAUNEUF-LES-MARTIGUES,13220,21 RUE DE LA BERARDE LA MEDE 13220 CHATEAUNEUF-LES-MARTIGUES,2020-08-06,PME,43.399674,5.111646
21,29,478407406,MOURAD MOURAD BEN YAFLAH (BEN YAFLAH) (DRONE SERVICES),71.20B,NN,1,VEYNES,05400,6 CHEMIN DU RIF 05400 VEYNES,2004-08-15,PME,44.530015,5.800823
22,29,352955587,THIERRY RAMEL (ABACAB DRONE SERVICES),71.20B,NN,1,VAUX-SUR-SEINE,78740,296 RUE DU GENERAL DE GAULLE 78740 VAUX-SUR-SEINE,1990-01-15,PME,49.008375,1.95815
23,29,822362778,FABIEN PRIMOUT (DRONE DIAG SERVICES),71.20B,NN,1,BISCHWILLER,67240,1 RUE DES MACONS 67240 BISCHWILLER,2016-09-12,PME,48.761872,7.859376
24,28,844227249,ALIZEA DRONE SAS,71.12B,NN,2,SAINT-FRANCOIS,97118,9 CHEMIN MILITAIRE 97118 SAINT-FRANCOIS,2018-09-01,PME,16.261943,-61.286801
25,28,844079129,SIG-DRONE,71.12B,02,1,COLOMBIER-LE-VIEUX,07410,3805 ROUTE DE CLAUZEL 07410 COLOMBIER-LE-VIEUX,2018-11-01,PME,45.063338,4.736551
26,28,803965540,FORMAT-DRONE (FORMAT DRONE) (FD),71.12B,02,1,JACOU,34830,ESPACE COWORK 26 RUE LOUIS BREGUET 34830 JACOU,2014-08-01,PME,43.658208,3.9043
27,28,813598380,AIR SPACE DRONE (ASD),71.12B,02,1,LE THOLONET,13100,1581 AVENUE PAUL JULLIEN 13100 LE THOLONET,2015-09-01,PME,43.508428,5.498115
28,28,794376210,PASCAL HENRI (DRONE ET PERFORMANCES),80.10Z,NN,2,DOUVRES-LA-DELIVRANDE,14440,17 ALLEE DES OEILLETS 14440 DOUVRES-LA-DELIVRANDE,2013-07-10,PME,49.294118,-0.387925
29,27,913825162,KDICHON SERVICES GROUP (KDICHON SERVICES GROUP) (KSG),74.20Z,NN,2,LE LAMENTIN,97232,B8 - DU VIEUX CHE RES MORNE PAVILLON MANGUIER 97232 LE LAMENTIN,2022-05-02,PME,14.622519,-61.028854
30,27,478492804,OLIVIER CHASTRETE (LITTORAL DEMOLITION SERVICES),43.99C,01,1,FEREL,56130,LA COUR DU MOULIN 56130 FEREL,2004-09-06,PME,47.477804,-2.364502
31,27,839462074,ALTUS DRONES SERVICES (ALTUS DRONES) (ADS),62.01Z,01,1,SAINT-VICTORET,13700,244 BD BARTHELEMY ABBADIE 13700 SAINT-VICTORET,2018-06-01,PME,43.419819,5.23676
32,27,893922179,DRONES TECHNIQUES ET SERVICES (DTS),74.20Z,NN,1,AURADE,32600,115 ROUTE DU CAP DU BOSC 32600 AURADE,2021-02-05,PME,43.533623,1.098511
33,26,809815426,LATITUDE DRONE,74.20Z,01,2,ANNECY,74000,10 AV FRANCOIS FAVRE 74000 ANNECY,2015-02-20,PME,45.905206,6.14007
34,26,493053060,MICHEL MORENO (DRONE PROJECT),74.20Z,NN,2,GASSIN,83580,CLOS BONAVENTURE 83580 GASSIN,2006-12-01,PME,43.261991,6.620465
35,26,841506728,GEO-RTO (GEO CAP DRONE),71.12A,01,2,CHARTRES,28000,5 B AVENUE MARCEL PROUST 28000 CHARTRES,2018-07-10,PME,48.451241,1.528002
36,26,928028075,DRONES SOLUTIONS - INSPECTION MESURE MODELISATION INDUSTRIELLE (DRONES SOLUTIONS) (DRONES-SOLUTIONS),71.20B,NN,1,MERIGNAC,33700,5 RUE FERDINAND DE LESSEPS 33700 MERIGNAC,2024-04-22,,44.848472,-0.675287
37,25,913221644,MICHEL DEL CASTILLO (DRONE DEL CASTILLO),74.20Z,NN,3,BAYONNE,64100,RESIDENCE OREKA BATIMENT BURKI 40 CHEMIN DE LOUSTAOUNAOU 64100 BAYONNE,2022-05-01,PME,43.505095,-1.429214
38,25,828154377,ALTAMETRIS,63.11Z,21,1,SAINT-DENIS,93200,33 AVENUE JULES RIMET 93200 SAINT-DENIS,2017-03-03,GE,48.923302,2.362697
39,24,822289021,VIDEO DRONE SERVICES,74.20Z,NN,1,ARMENTIERES,59280,193 AVENUE LEO LAGRANGE 59280 ARMENTIERES,2016-09-01,PME,50.694959,2.891931
40,24,883116220,DRONE REPONSE SECURITE (DRS),80.20Z,NN,1,LORIENT,56100,CENTRE D'AFFAIRES LORIENT MER 1 RUE HONORE D'ESTIENNE D'ORVES 56100 LORIENT,2020-03-03,PME,47.732754,-3.374809
41,24,819496431,DRONE MULTI SERVICES (DMS),59.11B,NN,1,CASE-PILOTE,97222,ENSEMBLE VETIVER FOND BOURLET 97222 CASE-PILOTE,2016-04-30,PME,14.638937,-61.128355
42,24,810518233,DRONE ECO SERVICES,59.11B,NN,1,ANNEMASSE,74100,24 RUE DE L’ILE-DE-FRANCE 74100 ANNEMASSE,2015-03-01,PME,46.189951,6.248143
43,24,951515907,INTERNATIONAL DRONE SERVICES,71.12B,NN,1,LE PLESSIS-BELLEVILLE,60330,5 AVENUE GEORGES BATAILLE 60330 LE PLESSIS-BELLEVILLE,2023-05-01,PME,49.095155,2.754051
44,24,884081068,AIR DRONE MULTISERVICES SASU,74.20Z,NN,1,RIVIERE-SALEE,97215,QUA LA HAUT CHEMIN LAURENT 97215 RIVIERE-SALEE,2020-04-01,PME,14.523685,-60.960658
45,24,528112683,JEAN-PHILIPPE LOPEZ (JPL SERVICES),74.20Z,NN,1,SAINT-FELIU-D'AVALL,66170,2 AVENUE DU LANGUEDOC 66170 SAINT-FELIU-D'AVALL,2010-11-03,PME,42.679849,2.748523
46,24,898061346,MICHEL JANSSENS (M DRONE SERVICES),74.20Z,NN,1,JUZIERS,78820,137 AVENUE DE PARIS 78820 JUZIERS,2021-04-06,PME,48.989484,1.844898
47,24,823210216,DIDIER BARDY (DRONE INSPECTION),74.20Z,NN,1,SAUVIAN,34410,17 CHEMIN DU MUSCAT D’HERAIL 34410 SAUVIAN,2016-09-19,PME,43.287569,3.25751
48,24,887680437,OV-SERVICES (OV-DRONE),43.21A,NN,1,CHATILLON,92320,4 VILLA LA MESIE 92320 CHATILLON,2020-07-28,PME,48.8046,2.2946
49,24,823961255,GAUTHIER BONAREWITZ (ORBITALE DRONE SERVICES),74.20Z,NN,1,ARBOIS,39600,65 GRANDE RUE 39600 ARBOIS,2016-11-01,PME,46.903907,5.771933
50,24,850062126,DAMIEN BARATON (DRONE VISION SERVICES),74.20Z,NN,1,SAINTE-CECILE,85110,3 RUE DE LA BASCULE 85110 SAINTE-CECILE,2019-02-01,PME,46.743533,-1.114123
