Rank,Company Name,Entity Type,Fence,Source Count,Sources,Best Score,Confidence,Has Dock 3,Website,LinkedIn,Domain,City,Employees,Key Signal,Dock 3 Note
254,"BP DRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:77.11A|generic_name|structured|PME/micro",""
255,"DRONEAU-GAUTHIER PEINTURE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:43.34Z|generic_name|structured|PME/micro",""
256,"HYDRONEO",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:35.11Z|generic_name|structured|PME/micro",""
257,"SARL VDRONE CONCEPT",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:46.19B|generic_name|structured|PME/micro",""
258,"HYDRONEO OO",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:35.11Z|generic_name|structured|PME/micro",""
259,"SACERDRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:74.10Z|generic_name|structured|PME/micro",""
260,"HYDRONEO SOLAR 1",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:35.11Z|generic_name|structured|PME/micro",""
261,"HYDRONEO SOLAR 2",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:35.11Z|generic_name|structured|PME/micro",""
262,"TONNER DRONES",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:46.52Z|generic_name|structured|PME/micro",""
263,"DRONE AGRI",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:46.69A|generic_name|structured|PME/micro",""
264,"INTELLIGENCE OF DRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:80.20Z|generic_name|structured|PME/micro",""
265,"TOP DRONE 60",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:82.30Z|generic_name|structured|PME/micro",""
266,"SPLENDID DRONES",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:90.01Z|generic_name|structured|PME/micro",""
267,"D'AIR DRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:43.34Z|generic_name|structured|PME/micro",""
268,"HYDRONET ASSAINISSEMENT",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:43.12A|generic_name|structured|PME/micro",""
269,"ARADRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:45.11Z|generic_name|structured|PME/micro",""
270,"METHODRONE DEVELOPPEMENT",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:77.40Z|generic_name|structured|PME/micro",""
271,"DRONE PLEIN SUD",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:00.00Z|generic_name|structured|PME/micro",""
272,"DRONET",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:43.39Z|generic_name|structured|PME/micro",""
273,"TOPO DRONE SBH",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:71.12A|generic_name|structured|PME/micro",""
274,"AH DRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:26.11Z|generic_name|structured|PME/micro",""
275,"IDEAL DRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:01.61Z|generic_name|structured|PME/micro",""
276,"DRONE COM KARAIB",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:58.14Z|generic_name|structured|PME/micro",""
277,"DRONE PRECISION MAYENNAIS",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:01.61Z|generic_name|structured|PME/micro",""
278,"SONODRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:90.02Z|generic_name|structured|PME/micro",""
279,"VISUDRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:71.12A|generic_name|structured|PME/micro",""
280,"METHODRONE HOLDING",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:70.10Z|generic_name|structured|PME/micro",""
281,"METHODRONE DISTRIBUTION",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:47.91A|generic_name|structured|PME/micro",""
282,"DEPART DRONE 78",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:81.29A|generic_name|structured|PME/micro",""
283,"DRONE FRANCE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:81.29A|generic_name|structured|PME/micro",""
284,"SIDRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:82.11Z|generic_name|structured|PME/micro",""
285,"CIDRONEL",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:70.10Z|generic_name|structured|PME/micro",""
286,"DRONE DE DOME",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:82.99Z|generic_name|structured|PME/micro",""
287,"RTK DRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:45.32Z|generic_name|structured|PME/micro",""
288,"ANTILLES GUYANE DRONE CONCEPT",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:00.00Z|generic_name|structured|PME/micro",""
289,"MA TOPO DRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:71.12A|generic_name|structured|PME/micro",""
290,"TOPODRONE SOLUTION",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:71.12A|generic_name|structured|PME/micro",""
291,"TOWER DRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:52.23Z|generic_name|structured|PME/micro",""
292,"SPACEDRONE-DATALINK",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:72.19Z|generic_name|structured|PME/micro",""
293,"ZONE DE DRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:00.00Z|generic_name|structured|PME/micro",""
294,"DRONE BY NATURE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:63.12Z|generic_name|structured|PME/micro",""
295,"DRONE AGRI CORSE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:01.61Z|generic_name|structured|PME/micro",""
296,"BV-DRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:01.61Z|generic_name|structured|PME/micro",""
297,"ALPHA DRONE OPERATION",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:00.00Z|generic_name|structured|PME/micro",""
298,"SKYDRONE INVEST",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:70.10Z|generic_name|structured|PME/micro",""
299,"BRUDRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:74.10Z|generic_name|structured|PME/micro",""
300,"USINAGE-CHAUDRONERIE-SOUDURE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:25.62B|generic_name|structured|PME/micro",""
301,"ECODRONE3D",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:43.99A|generic_name|structured|PME/micro",""
302,"SKYDRONE CAPITAL",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:70.10Z|generic_name|structured|PME/micro",""
303,"Takeoffformation",unknown,,1,"google_search",60,medium,No,,,,"",,"dji dock",""
304,"EFS DRONES",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:26.12Z|generic_name|structured|PME/micro",""
305,"QUADRONE ELECTRICITE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:43.21A|generic_name|structured|PME/micro",""
306,"MAISON MADRONET",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:52.4J|generic_name|structured|PME/micro",""
307,"ABC DRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:52.23Z|generic_name|structured|PME/micro",""
308,"DRONETAIR",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:58.29A|generic_name|structured|PME/micro",""
309,"TOUT LE DRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:32.99Z|generic_name|structured|PME/micro",""
310,"SAS DRONEST",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:82.99Z|generic_name|structured|PME/micro",""
311,"CESA DRONES",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:72.19Z|generic_name|structured|PME/micro",""
312,"DRONE ALPILLES",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:00.00Z|generic_name|structured|PME/micro",""
313,"AVM DRONE 27",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:01.61Z|generic_name|structured|PME/micro",""
314,"EVODRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:72.19Z|generic_name|structured|PME/micro",""
315,"SEE BY DRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:70.21Z|generic_name|structured|PME/micro",""
316,"SPECDRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:47.11B|generic_name|structured|PME/micro",""
317,"NATURA DRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:71.12A|generic_name|structured|PME/micro",""
318,"ASTRATUS FILM & DRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:59.11C|generic_name|structured|PME/micro",""
319,"RELAIS STATION DU SAN PEDRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:00.00Z|generic_name|structured|PME/micro",""
320,"HDRONES",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:77.35Z|generic_name|structured|PME/micro",""
321,"NEW-R-DRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:72.19Z|generic_name|structured|PME/micro",""
322,"DRONES ATILLA",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:46.49Z|generic_name|structured|PME/micro",""
323,"NAP DRONES",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:00.00Z|generic_name|structured|PME/micro",""
324,"GO RDRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:43.32B|generic_name|structured|PME/micro",""
325,"SAS JURIS DRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:62.03Z|generic_name|structured|PME/micro",""
326,"TD DRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:81.29A|generic_name|structured|PME/micro",""
327,"DRONE EN SCENE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:90.02Z|generic_name|structured|PME/micro",""
328,"TOURNAGE DRONE PARIS",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:77.39Z|generic_name|structured|PME/micro",""
329,"DRONEAU INVEST",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:70.10Z|generic_name|structured|PME/micro",""
330,"DRONE INOVE GEOMETRE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:71.12A|generic_name|structured|PME/micro",""
331,"SPARNACUS DRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:01.61Z|generic_name|structured|PME/micro",""
332,"CRYSTAL-DRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:90.02Z|generic_name|structured|PME/micro",""
333,"HOLDING HYDRONET",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:70.10Z|generic_name|structured|PME/micro",""
334,"OA DRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:71.12A|generic_name|structured|PME/micro",""
335,"DRONE VERT",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:01.61Z|generic_name|structured|PME/micro",""
336,"ASSOCIATION DRONE MY VIDEO",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_B:30.30Z|generic_name|PME/micro",""
337,"AGRIBIO DRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:01.61Z|generic_name|structured|PME/micro",""
338,"DRONE BAT - ISERE NUISIBLES - GUEPES38",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:81.29A|generic_name|structured|PME/micro",""
339,"PLANETE DRONE 4G",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:53.20Z|generic_name|structured|PME/micro",""
340,"LIPS DRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:77.39Z|generic_name|structured|PME/micro",""
341,"NORTH DRONES EQUIPEMENTS",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:28.99B|generic_name|structured|PME/micro",""
342,"L'ATOUT DU DRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:71.12A|generic_name|structured|PME/micro",""
343,"DRONEMATCH FRANCE SAS",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:63.12Z|generic_name|structured|PME/micro",""
344,"VEGETAL DRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:01.61Z|generic_name|structured|PME/micro",""
345,"RDRONE CONCEPT",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:81.29A|generic_name|structured|PME/micro",""
346,"ENVIDRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:85.53Z|generic_name|structured|PME/micro",""
347,"LUCIOLE DRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:90.03B|generic_name|structured|PME/micro",""
348,"DRONE AGRICULTURE ALPILLES",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:01.61Z|generic_name|structured|PME/micro",""
349,"LE CLOS ANDRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:55.20Z|generic_name|structured|PME/micro",""
350,"ARTOIT  DRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:46.49Z|generic_name|structured|PME/micro",""
351,"HYDRONETT SARL",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:93.0B|generic_name|structured|PME/micro",""
352,"SAN PEDRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:26.7Z|generic_name|structured|PME/micro",""
353,"SARL IDRONEGOMINE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:25.01|generic_name|structured|PME/micro",""
354,"EURL JP DRONET DECORATION",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:31.09B|generic_name|structured|PME/micro",""
355,"HYDRONET",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:74.7Z|generic_name|structured|PME/micro",""
356,"SARL L'ANDRONE",unknown,,1,"govt_registry",60,medium,No,,,,"",,"NAF_other:52.4Z|generic_name|structured|PME/micro",""
357,"COMMUNE DE SAINT PARDOUX DE DRONE",unknown,,1,"govt_registry",55,low,No,,,,"",8,"NAF_other:84.11Z|generic_name|emp:03|PME/micro",""
358,"CENTRE D'INNOVATION DRONES NORMANDIE",unknown,,1,"govt_registry",55,low,No,,,,"",,"NAF_other:72.19Z|provider_kw|PME/micro",""
359,"COMMUNE DE SAINT MEARD DE DRONE",unknown,,1,"govt_registry",55,low,No,,,,"",8,"NAF_other:84.11Z|generic_name|emp:03|PME/micro",""
360,"DRONES MUSIC ASSOCIATION",unknown,,1,"govt_registry",50,low,No,,,,"",,"NAF_other:90.01Z|generic_name|PME/micro",""
361,"UNION NATIONALE DES EXPLOITANTS ET DES PROFESSIONNELS DE L'AERONAUTIQUE TELEPILOTEE",unknown,,1,"govt_registry",50,low,No,,,,"",,"NAF_other:94.12Z|generic_name|PME/micro",""
362,"RECHERCHE, ASSISTANCE, INVESTIGATION PAR DRONES RAID",unknown,,1,"govt_registry",50,low,No,,,,"",,"NAF_other:84.25Z|generic_name|PME/micro",""
363,"MALANDRONE",unknown,,1,"govt_registry",50,low,No,,,,"",,"NAF_other:14.13Z|generic_name|PME/micro",""
364,"SC DES ANDRONES 2",unknown,,1,"govt_registry",50,low,No,,,,"",,"NAF_other:66.30Z|generic_name|PME/micro",""
365,"SC DES ANDRONES 3",unknown,,1,"govt_registry",50,low,No,,,,"",,"NAF_other:66.30Z|generic_name|PME/micro",""
366,"OTO DRONE & COM",unknown,,1,"govt_registry",50,low,No,,,,"",,"NAF_other:70.21Z|generic_name|PME/micro",""
367,"2 RUE CLAIRE DRONEAU",unknown,,1,"govt_registry",50,low,No,,,,"",,"NAF_other:55.20Z|generic_name|PME/micro",""
368,"FORENSIC DRONE RESEARCH",unknown,,1,"govt_registry",50,low,No,,,,"",,"NAF_other:72.19Z|generic_name|PME/micro",""
369,"GEODRONE57",unknown,,1,"govt_registry",50,low,No,,,,"",,"NAF_other:63.99Z|generic_name|PME/micro",""
370,"DRONE ACCES",unknown,,1,"govt_registry",50,low,No,,,,"",,"NAF_other:82.99Z|generic_name|PME/micro",""
371,"QR'DRONE",unknown,,1,"govt_registry",50,low,No,,,,"",,"NAF_other:52.24B|generic_name|PME/micro",""
372,"DRONE OVER",unknown,,1,"govt_registry",50,low,No,,,,"",,"NAF_other:90.01Z|generic_name|PME/micro",""
373,"SCI CLAIRE DRONEAU",unknown,,1,"govt_registry",50,low,No,,,,"",,"NAF_other:70.2C|generic_name|PME/micro",""
374,"GAEC DRONET",unknown,,1,"govt_registry",50,low,No,,,,"",,"NAF_other:01.42Z|generic_name|PME/micro",""
375,"SC DES ANDRONES",unknown,,1,"govt_registry",50,low,No,,,,"",,"NAF_other:66.30Z|generic_name|PME/micro",""
376,"DRONEAU",unknown,,1,"govt_registry",50,low,No,,,,"",,"NAF_other:01.2A|generic_name|PME/micro",""
377,"CEDRONE",unknown,,1,"govt_registry",50,low,No,,,,"",,"NAF_other:86.90E|generic_name|PME/micro",""
378,"SCI DES ANDRONES",unknown,,1,"govt_registry",50,low,No,,,,"",,"NAF_other:55.10Z|generic_name|PME/micro",""
379,"SYN-DRONE PRODUCTION",unknown,,1,"govt_registry",50,low,No,,,,"",,"NAF_other:90.01Z|generic_name|PME/micro",""
380,"DRONEAID COLLECTIVE",unknown,,1,"govt_registry",50,low,No,,,,"",,"NAF_other:94.12Z|generic_name|PME/micro",""
381,"CIE SANDRONE ET ARTIFICES",unknown,,1,"govt_registry",50,low,No,,,,"",,"NAF_other:90.01Z|generic_name|PME/micro",""
382,"ASSOCIATION DRONE SWEET DRONE",unknown,,1,"govt_registry",50,low,No,,,,"",,"NAF_other:59.20Z|generic_name|PME/micro",""
383,"POWELL BODRONE",unknown,,1,"govt_registry",50,low,No,,,,"",,"NAF_other:86.90D|generic_name|PME/micro",""
384,"DRONE TEMPLE",unknown,,1,"govt_registry",50,low,No,,,,"",,"NAF_other:90.01Z|generic_name|PME/micro",""
385,"FEDERATION PROFESSIONNELLE DU DRONE CIVIL U1/2 FPDC",unknown,,1,"govt_registry",50,low,No,,,,"",,"NAF_other:94.12Z|generic_name|PME/micro",""
386,"SQUADRONE VOLANTE",unknown,,1,"govt_registry",50,low,No,,,,"",,"NAF_other:82.30Z|generic_name|PME/micro",""
387,"DRUMS AND DRONES",unknown,,1,"govt_registry",50,low,No,,,,"",,"NAF_other:90.02Z|generic_name|PME/micro",""