rank,siren,company_name,trade_name,naf_code,employee_band,created,category,legal_form,score,website,linkedin
1,811794601,AZUR DRONES,,74.90B,21,2015-06-01,ETI,5710,48,http://www.azurdrones.com,https://www.linkedin.com/company/azur-drones
2,800970212,SQUADRONE SYSTEM,,71.12B,12,2014-02-19,PME,5710,41,https://squadrone-system.com,https://www.linkedin.com/company/squadrone-system
3,828427872,DIODON DRONE TECHNOLOGY,,71.12B,12,2017-02-23,PME,5710,41,https://www.diodon-drone.com,https://fr.linkedin.com/company/diodon-drone-technology
4,811423193,UAVIA,,71.12B,12,2015-05-18,PME,5710,39,http://www.uavia.eu,https://fr.linkedin.com/company/uavia
5,827837832,INSTADRONE,,71.12B,12,2017-02-01,PME,5710,39,http://www.instadrone.fr,https://fr.linkedin.com/company/instadrone-sarl
6,808408074,PARROT DRONES,,26.70Z,22,2014-12-04,PME,5710,38,http://www.parrot.com,https://www.linkedin.com/company/parrot
7,821433893,SKYDRONE INNOVATIONS,,71.12B,11,2016-07-01,PME,5710,36,https://www.skydrone.fr,https://www.linkedin.com/company/skydrone-robotics
8,812225308,SEMADRONES,,71.12B,11,2015-07-01,PME,5710,36,https://semadrones.com,https://fr.linkedin.com/company/semadrones
9,350686788,VOYAGES DESCAMPS DUAVRANT,,49.39B,21,1989-04-01,PME,5499,35,https://www.voyagesdescamps.fr,
10,825313232,ARTECH'DRONE,,71.12B,3,2017-02-01,PME,5710,34,www.artechdrone.fr,https://fr.linkedin.com/company/artechdrone
11,834143695,ARTEDRONE,,72.19Z,11,2017-12-19,PME,5710,33,https://www.artedrone.com/,https://www.linkedin.com/company/artedrone
12,812376358,DRONE ACT,,72.19Z,11,2015-08-01,PME,5710,33,https://www.drone-act.com,
13,842833824,LYNXDRONE,,74.90B,11,2018-10-01,PME,5710,33,https://lynxdrone.fr,https://fr.linkedin.com/company/lynx-drone-sas
14,829385202,DRONE CONSULTING,,71.20B,3,2017-04-26,PME,5710,32,https://droneconsulting.fr,
15,838519395,BATHY DRONE SOLUTIONS,,71.20B,2,2018-04-01,PME,5710,31,https://www.odas-solutions.com,https://fr.linkedin.com/company/bathy-drone-solutions
16,534093349,WEBDRONE,,62.01Z,11,2011-07-19,PME,5710,31,,https://www.linkedin.com/company/webdrone
17,807747662,SNOWDRONE,,49.32Z,12,2014-11-04,PME,5499,30,,
18,841182678,SAS DRONE SERVICES,,71.12B,1,2018-06-22,PME,5710,30,,
19,400186730,BLEU MARINE,AQUAVITHAL,85.51Z,12,1995-03-20,PME,5499,30,,
20,847924305,DRONES TECHNOLOGIES SERVICES,,71.20B,NN,2019-02-01,PME,5499,29,,
21,844079129,SIG-DRONE,,71.12B,2,2018-11-01,PME,5710,29,,
22,841889975,DRONE EXPERTISE CENTRE,,71.20B,2,2018-08-22,PME,5710,29,,
23,813598380,AIR SPACE DRONE,,71.12B,2,2015-09-01,PME,5710,29,,
24,803965540,FORMAT-DRONE,,71.12B,2,2014-08-01,PME,5710,29,,
25,820377687,DRONELIS,,70.22Z,11,2016-05-18,PME,5710,28,,
26,802991414,HEXADRONE,,30.30Z,11,2014-05-26,PME,5710,28,,
27,408592079,ACQUAVIVA DISTRIBUTION II,,47.11F,2,1996-07-23,ETI,5710,28,,
28,792951238,INTERDRONES SERVICES,,71.12B,NN,2013-05-20,PME,5710,28,,
29,807500541,ESCADRONE,,30.30Z,11,2014-10-27,PME,5710,28,,
30,531970051,DRONE VOLT,,30.30Z,12,2011-04-12,PME,5599,28,,
31,409892122,SARL AQUAVAL,,46.61Z,11,1996-10-28,PME,5499,27,,
32,798408563,DRONE ON AIR,,59.11B,11,2013-11-01,PME,5499,27,,
33,800919904,SAS MARCELLU ACQUAVIVA,,71.12A,2,2014-02-20,PME,5710,26,,
34,844743567,DRONE XTR,,74.90B,2,2018-12-19,PME,5710,26,,
35,821750908,SCANDRONE,,71.12B,1,2016-08-29,PME,5710,26,,
36,821458122,DRONEXSOLUTION,,71.12B,1,2016-07-01,PME,5710,26,,
37,827699943,CARIBEENNE D'EXPERTISE ET DE DRONES,,71.12B,1,2017-02-01,PME,5710,26,,
38,790716153,AGENIUM DRONES SOLUTIONS,,71.12B,NN,2013-02-01,PME,5710,26,,
39,884424656,DRONES INGENIERIE SYSTEMES,,71.20B,1,2020-07-03,PME,5499,26,,
40,897993705,H2DRONE,,71.20B,2,2021-03-20,PME,5710,26,,
41,792345217,DRONE TECH,,71.12B,NN,2013-03-15,PME,5710,26,,
42,813352754,DRONE 06,,71.12B,1,2015-09-04,PME,5710,26,,
43,844545707,DRONE EXP'AIR TECH,,71.20B,NN,2018-12-04,PME,5499,25,,
44,810401430,ENERGY DRONE,,71.12B,1,2015-04-06,PME,5499,25,,
45,839462074,ALTUS DRONES SERVICES,,62.01Z,1,2018-06-01,PME,5710,25,,
46,905304952,DARWIN DRONES,,46.51Z,11,2021-11-16,PME,5710,25,,
47,853223816,DRONE GEOFENCING,,58.29C,11,2019-08-01,PME,5710,25,,
48,805241999,CARTODRONE,,71.12B,1,2014-10-14,PME,5499,25,,
49,801525932,DRONE EXPERT SERVICES,,74.20Z,2,2014-05-01,PME,5710,25,,
50,887953180,DRONE INSPECTION,,71.20B,NN,2020-08-06,PME,5499,24,,