"Score","Band","Group","Company","Country","City","Industry","Signal Type","Use Case","Summary","Title","Publisher","Published Date","URL","FlytBase Mentioned","Key People","Key Entities","Is Duplicate","Drop Reason"
"90","Hot Lead (75+)","West","Volatus Aerospace Inc.","North America","","Energy & Utilities","CONTRACT","Power Line Inspection, Vegetation Management, Substation Assessment, Emergency Storm Response, Data Acquisition","Volatus Aerospace has secured a multi-year, CAD $15 million agreement with a major North American electricity utility to provide drone-based inspection, mapping, and data services for approximately 100,000 miles of transmission and distribution lines.","Volatus Aerospace Secures Major Multi-Year Agreement with a - GlobeNewswire","GlobeNewswire","2025-09-16","https://news.google.com/rss/articles/CBMipwJBVV95cUxQYUpQR1dwVjNXSDBrX2dvZmJLdjVmTGRQeWFCOFN5VzVWTUhoTmpLaTJKQ3gyNllNOVZMZnFTUnhCZ0FmWlNXalkycXFnc3EzaWh6MGo1eXREWHdQbllFcHctT3BBNk9wYlE4bVdpTFA1RU93RzJuZTRNRHZ2QUtQWHBQb3V6OER0NHNqNHAxRHIyR2VyYXhTMC1LSFNlNEotNF8zQy1NYjJyR3R3cnRweUhSbl9UeUYxalJZMFRfQkxxcUU2R096ODZwc0psQk4zdElyQl9IS0V6elI1YVZHZDlJN0ZLbVktXzlkVkhpbzcyVnROWlYtZTZqUUVVcUVZSF9Jc2VpRnNNQmJsX09vQzRtTDU2UzR4TllTYTlPN0E1bFFRbGpr?oc=5","No","Glen Lynch (CEO)","Volatus Aerospace Inc. [si]; North American power utility [buyer]","No",""
"90","Hot Lead (75+)","West","Flock Safety","USA","Prosper","Public Safety & Emergency Response","DEPLOYMENT","Drone as First Responder (DFR)","Flock Safety has officially launched the first in-state Drone as First Responder (DFR) program in Texas, providing automated drone technology to the Town of Prosper Police Department.","Next-Gen Policing Takes Flight in Prosper, Texas - Flock Safety","Flock Safety","2025-09-18","https://news.google.com/rss/articles/CBMihwFBVV95cUxORVJQaTFEMnZnX3lCZWp3X0xOa2dnU2hOWkNLVUt3U2lFSExYcHR6STFzd1VaeGd0a3c4NEtrSkFTbl9kb0xtcE5oc1kzYzVISXM1ejlTYTNhbXVBV25XM3IyYzE3cnktYjRlQU5VUU8wYmdkeWUtUU40Q2JQbU9RbS1CMkNVc1E?oc=5","No","","Flock Safety [si]; Prosper Police Department [buyer]; Town of Prosper [buyer]","No",""
"90","Hot Lead (75+)","West","MITS Industries","Ukraine","Kyiv","Other: Defense","EXPANSION","Drone-as-a-service for advanced drone and counter-drone systems in defense","MITS Capital launched MITS Industries, a new Danish-Ukrainian defense firm uniting Ukrainian drone makers Tencore, Infozahyst, and Unwave, operating on a drone-as-a-service model for defense applications.","New Danish-Ukrainian Defense Firm Unites Ukrainian Drone Makers - The Defense Post","The Defense Post","2025-09-19","https://news.google.com/rss/articles/CBMie0FVX3lxTE0weUFyaVhtSW9JaENqNWxyNF8zNE42SldHLTZiVkpDUFExX3Q4ZlBHbm1LMmotOHRad29vOGFYeGxkZVB1QXg0alR4c0JJZDN4b2RBa1h6ZWRrRVB4aDF0NFhvdFVzZzM2VXExN2ZsZlRlMFRXUTZVMjNtNNIBgAFBVV95cUxNME02STJOOUhsUS13TlQxdzhxNjd1TTlsNWMwRmh6VGtobkVzMEV2YllacmNvdW02UVRYMEFqdTU3WHJpRlFtSG5RaUNicV9sUEVweGw5YncxT0xjQ0l3Z25KcFg4Ykh3UkhWTmM3Q0ozazBOaU15S2x5WjUtRG9BaA?oc=5","No","Perry Boyle (CEO and Founding Partner; Chairperson); Denys Gurak (CIO and Founding Partner)","MITS Capital [partner]; Tencore [partner]; Infozahyst [partner]; Unwave [partner]","No",""
"90","Hot Lead (75+)","West","MITS Industries","Ukraine","Kyiv","Other: Defense","EXPANSION","Defense/Military (drone-as-a-service for advanced drones and counter-drone technologies)","MITS Capital launched MITS Industries, a new Danish-incorporated company to consolidate Ukrainian defense-tech firms like Tencore, Infozahyst, and Unwave, operating under a ""drone-as-a-service"" model to strengthen European security.","MITS Capital launches the defense tech company MITS Industries - Scroll.media","Scroll.media","2025-09-17","https://news.google.com/rss/articles/CBMifkFVX3lxTFA1aTFzV3VydWVmTTI1SWZxbmlialpqX255c0pXNjNrcnlob2lrNHIxWUNHdjlEY3JXUHFRSkJFTWNxa0k5T3BxNHJxSUFvYzNKQjhwRjZxWmpCa2NKa3pCaHk0SW9rRy1qV0ZjSHlpUng3ek9sMkpzMWQ2SHZEZw?oc=5","No","Perry Boyle (co-founder and CEO; chairman); Denys Gurak (co-founder and CIO/COO)","MITS Capital [partner]; Tencore [partner]; Infozahyst [partner]; Unwave [partner]","No",""
"90","Hot Lead (75+)","West","Skye Air Mobility","India","Bengaluru","Other: Healthcare Logistics","DEPLOYMENT","Medical supply delivery; grocery and essential item delivery","Skye Air Mobility has active drone delivery operations in Gurugram and Bengaluru, completing nearly 6,000 deliveries daily, including a partnership with BigBasket for groceries and medicine, and DaaS pilots with Swiggy Instamart.","India bets on drones and eVTOLs to save lives in remote regions - The STAT Trade Times","The STAT Trade Times","2025-09-15","https://news.google.com/rss/articles/CBMipwFBVV95cUxNYkE4bXgtTmMxM1JvRXZWUWpWcldQOFV0OUFPSnlORTc5cnpLNDNkcUp3eUZpbVU0M25idzZ5RjZXNEZ6ZmM5bHJ0Y0dKRzYzQ0dLVFBxWG4xRm9RajVaRTlNNEpMYV9GTHJEVDNVSVEycHNzaUQ4NUp6dml2N0syVmpFOUxMeWZEVGlWV3dEVG1wR2FGamNoTUdJMk9YdkU5dF9sMnFjRdIBrAFBVV95cUxPb0ZjMm1IcllDaEJWYTU0Q082UVBub0FKUkE0X3FDWVFuR2JpZmoxWC00cTdlRncwNjE4Tzk3UVFwVlJSZmJMWG51ck11TnluVVFVenRhcy1LV0p1Z19xZnY4bWlBRlo2YkxsenBDejcwbGQ2N1Jld1Fham5EemRCREVDTDBRUDJUaEVUckxwZktyZzBnRHZtbHdNYUo4VVRrMndOZzVEV19iRUZH?oc=5","No","Vinay MK (CEO)","Amber Wings [operator]; Ubifly Technologies [other]; The ePlane Company [other]; BigBasket [buyer]; Swiggy [buyer]; Garuda Aerospace [operator]; Marut Dronetech [operator]","No",""
"90","Hot Lead (75+)","West","MITS Industries","Ukraine","Kyiv","Other: Defense","EXPANSION","Defense/Military (drone-as-a-service for advanced drone and counter-drone solutions)","MITS Capital launched MITS Industries, a new Danish-Ukrainian defense technology company consolidating leading Ukrainian firms like Tencore, Infozahyst, and Unwave, operating on a ""drone-as-a-service"" model to scale production of advanced drone and counter-drone solutions.","MITS Capital launches MITS Industries, a Danish-Ukrainian defence venture to strengthen Europe - Defence Industry Europe","Defence Industry Europe","2025-09-21","https://news.google.com/rss/articles/CBMivwFBVV95cUxQTFAwMWM4ZzFCYzVua0tOVkxaNjI5RERmWExXYlZBMVlQLTZxZEg1Mk9yT1NyUGNoMVBaZUZjbm52VmkwUmVuck0tRk53cW92eXFBdzlUbUFlNE9UMXhlb0c5dkFqQkxaZGd5ZVRPNDlmQVBwWTNKOWpBOWs0TEtlaEp6MkRzeVJPYmRHSlJnODROallVQm9MZy1yNGZReGJ3OW1Qd0ZMc2t3QUoySjRHd1g3b0dwMEQyLUtRekVRYw?oc=5","No","Perry Boyle (CEO & Founding Partner; Chairman); Denys Gurak (CIO & Founding Partner)","MITS Capital [partner]; Tencore [partner]; Infozahyst [partner]; Unwave [partner]","No",""
"90","Hot Lead (75+)","East","Marut Drones","India","","Agriculture & Forestry","DEPLOYMENT","Crop management, spraying, fertilizing, seed sowing","Marut Drones is actively supporting Indian farmers with efficient crop management using its DGCA-certified AG 365 drone for spraying, fertilizing, and seed sowing.","“Drones support Indian farmers with efficient crop management” - FreshPlaza","FreshPlaza","2025-10-01","https://news.google.com/rss/articles/CBMiugFBVV95cUxNUjRqcnBuUWJDeWx0UlpLNzROempzRk1pdHJ2ZWNqRlNRWkJjeFJzdlpxYkdtN3FBa2p3SEgyRDl4ZkxGY0NmSDQwY0xLVlhZa2tBT3B4WUdwdWl6ZzNINzVyM2hxeEJUOUZBdjVfRW5MUk4yNW93ZHlWWllhRUctSzNFMHI0UG1MaHc2WllrUlpSTGZBWDhHMFVDYkstQ1hYWWNpWHlDcGJtczRKUW9wMXZWQUhWWTJIVVE?oc=5","No","Prem Kumar Vislawath (Founder & CEO)","Marut Drones [oem]; DGCA [regulator]","No",""
"85","Hot Lead (75+)","West","Flock Safety","USA","Redondo Beach","Public Safety & Emergency Response","EXPANSION","Drone as First Responder (DFR)","Flock Safety is expanding its Drone as First Responder (DFR) solutions with its Aerodome platform, led by Rahul Sidhu, who previously founded Aerodome and deployed one of the first DFR programs in Redondo Beach, CA.","How Flock Aerodome Is Reinventing Public Safety From the Sky - Flock Safety","Flock Safety","2025-09-17","https://news.google.com/rss/articles/CBMimAFBVV95cUxPYXYweTJ4ckhxWE50a2VQYlRIQ2tOR09HRXZJQk5nSTFNc0hsam9sTDZoWFAteWVoLU83cVYxd05aNUNVOUJYOC10VzdUSlV5ZUxGdjg0Yzg0aVEwMGJWMVJpNFZWZ0pMbnA0QzFCMDJmX25xSDhOTWRyM2NYaENHT1VveExmUXZ5ZGRnRU1OQzk4SHE1THJZXw?oc=5","No","Rahul Sidhu (Vice President of Aviation); Jamie Hudson (Podcast Host); Dalton Webb (Podcast Host)","Redondo Beach, CA [buyer]","No",""
"85","Hot Lead (75+)","West","DragonFly UAS Co","US","Phoenix","Public Safety & Emergency Response","EXPANSION","Multi-sector UAS operations and services including public safety, military, emergency response, photogrammetry, 3D modeling, construction, and disaster prevention","DragonFly UAS Co. expects revenue to double with new overseas orders for VTOL drones from US and European public safety, military, and emergency response sectors, and plans to adopt a drone-as-a-service model with operations in the US.","Drone maker DragonFly expects revenue to double - Taipei Times","Taipei Times","2025-09-19","https://news.google.com/rss/articles/CBMidkFVX3lxTE5XT0NUNWUyUmVrUnFMeFJIMmd6MXBUcWhXcjZ6T0dVWS03OFk4TmFkdW9OVS10OGw3R3JOYzdWYVM3b2k5Nms5Z3NmZklpWGNfUjFZUkJKNTFMVVBLNzJwalM2cjkyVEY4alM1ODdObVNRNU9jLXc?oc=5","No","Arvin Li (chief executive officer)","Skydio Inc [oem]; Qisda Corp [partner]","No",""
"85","Hot Lead (75+)","West","heliguy™","UK","London","Public Safety & Emergency Response","DEPLOYMENT","Drone First Responder (DFR), rapid emergency response, situational awareness","Heliguy™ is a key partner in advancing frontline policing with Drone as First Responder (DFR) programs across the UK, including the Met Police's deployment of DJI drone-in-a-box systems in London for rapid incident response.","DFR in action: Advancing frontline policing with drone in a box technology - Heliguy","Heliguy","2025-10-23","https://news.google.com/rss/articles/CBMifkFVX3lxTE1SbUZvZjN5ekUtTUxoeURyQVRvYzg5TDkxUnd3VUhrUGlIZkxXWFo2bDdPRDQyd3VXTDFIc2hDUjhwdmV5NHoybTB5a3BTYjJ6S3BibmFhVzRKVi04MjMyUVMxMmxvNTlJeXlKMlZXWVlRSlFpVmpMZ1BqUkkyZw?oc=5","No","James Willoughby (null); Supt Taryn Evans (Strategic lead for the Drones Team)","heliguy™ [partner]; Met Police [buyer]; National Police Chiefs’ Council (NPCC) [regulator]; DJI [oem]","No",""
"85","Hot Lead (75+)","West","Vector","USA","","Public Safety & Emergency Response","CONTRACT","Military intelligence, surveillance, reconnaissance (ISR), frontline operations","Vector secured a multi-year, multi-million-dollar contract with U.S. Special Operations Command (SOCOM) to provide ""attritable drones"" through a ""Modern Warfare as a Service"" model for frontline military operations.","Vector Lands Major SOCOM Contract, Accelerates Military Drone Innovation; Will Showcase Drone Innovation at 2025 Zero Gravity Summit - TechBuzz News","TechBuzz News","2025-10-24","https://news.google.com/rss/articles/CBMicEFVX3lxTFBUeWJCbElzcGdYQ0NaalZOX214dkRzc3d2Q0pFVk9Id1lpNE1nSkNhd3RPckNzdHU5Y1VJTi1iR2d3SzE3emh5MTRTek56ellaTnNYNlMzaXJSWHRLS2dzclVWTkJnX2tybjFud3pWVEo?oc=5","No","Andy Yakulis (CEO and Co-Founder); Mark Tullis (Author)","U.S. Special Operations Command (SOCOM) [buyer]","No",""
"85","Hot Lead (75+)","West","Just Eat","Ireland","Dublin","Other: Food Delivery / Logistics","EXPANSION","Food Delivery","Just Eat, an on-demand food delivery platform, is expanding its drone delivery service in Dublin, Ireland, through a partnership with drone delivery operator Manna, delivering orders from restaurants like Burger King.","BurgerKing Blanchardstown now deliveirng with drones and Just Eat - techbuzzireland.com","techbuzzireland.com","2025-09-25","https://news.google.com/rss/articles/CBMiqAFBVV95cUxQdnQ5eUs4N3lRVTVLYm44aVhqVGV5TTlRU2g5MGdvWUVIN3hhUkhjUFFrMmN0T3Z5ZE0yelY3d2RCTWJHVnFkc0t5UDR5MjR5ZXBBTTRESUNBSDJmdmZJOGJ0aDF6Y044NE5iZkQ4QkE0T2ZpZnA5U2NnWHpKYlNUWVFNbmdIN09TNjQ5UUpweWx2dGVlMVdER1BudjJmdmlZSUJsZU9wMjTSAbABQVVfeXFMUF81MnFNeDJpTUVQTTB4aFd6SmpTUmt2MTEwVng1aTZoYVpBeVdhbS11VTVTWFJFNE1fVDlnT1lyb2daOEFic1ExR1RXTTYzUWdIX1lJa3hDdzliV0NOX242Yzl4c1d0QmJoaUNyNnhvMXhlaTVIZWlaZ0htend0VFd3UndqbXFubzRkSFZHV2p4TExzZERoY1JMaXJCdGZlUExlS0FRY1RvaWo5ZV94T1M?oc=5","No","Jim O Brien (CEO); Amanda Roche-Kelly (Managing Director); Eoghan Huston (Chief Operating Officer); Derek Mulligan (Director Of Operations)","Manna [oem]; Burger King [buyer]; Boojum [buyer]","No",""
"85","Hot Lead (75+)","East","Terra Drone Corporation","","","Public Safety & Emergency Response","PARTNERSHIP","UAS Traffic Management (UTM), pre-flight risk assessment for defense/security","Terra Drone's group company Unifly has joined a European Defence Agency-led project to standardize pre-flight risk assessment for drones in the defense and security sectors across Europe, leveraging its UTM systems and recent acquisition of EuroUSC Italia.","Terra Drone’s Group Company Unifly Joins European Defence Agency-Led Project - Terra Drone株式会社","Terra Drone株式会社","2025-10-02","https://news.google.com/rss/articles/CBMiugFBVV95cUxPQkJEMTdiZ3RZYUx2Ym5zVHdXTEhjVWVibnhiVDZyejl3U29yX1JhNlpZVHhIWjdSZmM1T0x6dkFrVVJpbTNYT05wWW5kZTZldHdJMjVsMGl0VzBfRWZiVjVQOFRKMDJUT3l0Y1M4bF9ESWIwM1RLR3MzZ1YwNUxSNXJLaGtVVzFxZFhaaGlPallSMXBaRGtnbnE5d1N4NkhJZWVsR0N3RGdLZ1NvYVVWRGFwSEFGM3BSa2c?oc=5","No","","Unifly [partner]; European Defence Agency (EDA) [regulator]; EuroUSC Italia S.r.l. [partner]","No",""
"80","Hot Lead (75+)","West","Terra Drone","Chile","","Other: Drone Distribution","PARTNERSHIP","Drone product distribution and sales","Terra Drone has signed a distribution agreement with Heliboss Chile for its ""Terra Xross 1"" drone, expanding its market reach for drone technology in Chile.","Terra Drone Signs Distribution Agreement with Heliboss Chile for “Terra Xross 1” - Terra Drone株式会社","Terra Drone株式会社","2025-10-23","https://news.google.com/rss/articles/CBMivgFBVV95cUxPR0dvaGhDdEJvanBlTDZHcWNtZlZHdDhQWHlzNk5zREh1M0JsWmxJMGs5MWJJY3o0T3Vta2ZuMW1XaWYyUnZqREZWNHdZdERFdnVha1U2Y0ZjRFQwODk3blRtMHltT3pSVTJGYzF5Tk1DUWtpa3hIYThJM0M1NVdXODRESUNYY3N2QzBTRUVzZ0ZqR00zdk45N29UaXVvYUVuR3dKVnVyUERNRW9WazZSdjhMd3Y1OG9UdjNRbTJn?oc=5","No","","Heliboss Chile [partner]; Terra Drone [si]","No",""
"80","Hot Lead (75+)","West","Drone Force","","","Perimeter Security & Smart Facilities","PARTNERSHIP","Crime Fighting, Security, Surveillance","Drone Force has partnered with Vumacam to utilize autonomous drones for crime fighting and security applications.","Vumacam teams up with Drone Force to elevate crime fighting with autonomous drones - ProtectionWeb","ProtectionWeb","2025-09-23","https://news.google.com/rss/articles/CBMiwgFBVV95cUxOcThrakxXX3lEOWRUdERwcDAwZkM4Y1lOc0RUdFlGalhGQnBTc2Q0S3pwME5IZjhBM3AxQm0yX3BtSlhhWGUyUC1YRi05T3pMNzVJeGpEck1xNl9VSlRRbDVDXy03eGswTXB0ZEZHZWgzQnpoNVZDc0FXaTFqWnZqdWZxUWpNa0o4U2tOZFFyV2RXYlNBNk5PcGFUYlhKRnZRc3lHaDJ1U0JLZzVqblk3OTVrQ3RxQTJQMzJMTE1ycl85Zw?oc=5","No","","Vumacam [partner]","No",""
"75","Hot Lead (75+)","East","Drone Force","","","Public Safety & Emergency Response","PARTNERSHIP","Crime fighting","Drone Force is partnering with Vumacam to deploy autonomous drones for crime fighting.","Vumacam teams up with Drone Force to elevate crime fighting with autonomous drones - defenceWeb","defenceWeb","2025-10-01","https://news.google.com/rss/articles/CBMivwFBVV95cUxPd3hyZkphcVIyUEFicUQ3T1RWNWJEbUxRM2hRWm9oZXFSQ2xXcFZrU0czN2hkOVB1dFhZYmdxMVU0WUJNQUN0QlJJeUNhRW1lVzZXU3RSRUtZYV9iNFJFS0RDekcxMVUzSzhjaDRKbWdjMl93NU80NUpPMXplbzV4NV82REx2ZHVRNFhrRWhWXzYzQ1dwbDlDanJGWnlzZVg1TC1iWHMyamQ1OEtMWml0Q19Wd1Rzdi1iallzZU03OA?oc=5","No","","Vumacam [partner]; Drone Force [operator]","No",""
"70","Strong Signal (50-74)","East","Volatus Aerospace","","","Energy & Utilities","CONTRACT","Utility Infrastructure Inspection","Volatus Aerospace has secured a major multi-year agreement to provide drone-based services to a leading North American power utility.","Volatus Aerospace Secures Major Multi-Year Agreement with a Leading North American Power Utility to Provide Drone-Based Services - UAS Magazine","UAS Magazine","2025-09-17","https://news.google.com/rss/articles/CBMi8wFBVV95cUxOR0VuZ240LU5CUmc4eENkUmk3QlFvUEZteG1iUG5JZkhMRktmRjdGRFRZMDhvNlA2RjI4VGQ4LVU4eGlYM20xUUJkbmxpejZETEt6MVJ1RnRPc0xoMHVxR1AzXzE2ek9WVGRPUm83bDI2eHk4LWpoSGVudjRhSlprQ2c3dHhYYkdZc24zRkVIRFZRdmNaOEtqc3B4WUtWT05TTjdzdmthdkg3c0F4YnJvdHlmdDg5anlIbldVSTJRb012c2hQRG81YmdNNFAtbVBIcDBYakxVZUE5ZnAxNjBMcmhoNHQ1UXZLZnNXV010VWk5RkU?oc=5","No","","Leading North American Power Utility [buyer]","No",""
"65","Strong Signal (50-74)","West","Fuvex","Spain","","Other: Industrial Inspections","EXPANSION","Drone inspections across Europe","Spanish drone developer Fuvex has raised €1.7 million to expand its drone inspection services and operations across Europe.","Spanish drone developer Fuvex raises €1.7 million to fly high across Europe’s inspection skies - EU-Startups","EU-Startups","2025-10-20","https://news.google.com/rss/articles/CBMiygFBVV95cUxPQ3JVLWttQTFRbjZydDUtc0hQVGpFS3J0a2JrdDdIbE5nODV6S3RUMzAwamhlazlNTmtlRjBraUxfcWplWnpfYmFfSW1ERllmSEo1NGNtZFIyUFZuZFB1NUZ6eG5OekpVQTJxVWRvb2lZRnFKUGN0QzJ4cFBHNl9nNFlJRml2dFVBWlN2NHNKeXpvdTZRa2xCODNmWDl4YVhmOEozNzVSWkhIMFhYUy12R251ZlhpZGVsTTZ2S2RfMk9NOWtYMHBhZUNR?oc=5","No","","Fuvex [si]","No",""
"65","Strong Signal (50-74)","West","Versaterm","USA","","Public Safety & Emergency Response","PARTNERSHIP","Public safety operations, real-time situational awareness, unified fleet management, ISR missions","Versaterm announced a partnership with Vantage Robotics to integrate Blue UAS-compliant Vesper and Trace UAVs into its public safety platform, DroneSense, to enhance first responder operations and fleet management.","Versaterm Partners with Vantage Robotics to Integrate Blue UAS for Public Safety Operations - Dronelife","Dronelife","2025-10-20","https://news.google.com/rss/articles/CBMiwwFBVV95cUxNSkVVYlJEb0ZLSk1YbWdwempkR2oyT3llVU53dHUzTHpORzBIT1lxbE1JOFpvTXVuWUEtUEtvdG9HUk5pZE9BNmZLV19Vb0J3d0JJbTlHLUR3U2pwUnFMSTFRa0Y5MTdPc0pVRTdDTmxoV1lNWF9OY3VGUWtCSHg2cWpXRF96RC0zRi0wU2pXS3RzX3RDaVVvenRHSmp6WTRBQ0l1TUVNLWdmd1Jadld1OFRjQUQ5cW5iYXZRMk9BV0htamc?oc=5","No","Christopher Eyhorn (General Manager); Tobin Fisher (CEO)","Versaterm [si]; Vantage Robotics [oem]; DroneSense by Versaterm [partner]","No",""
"65","Strong Signal (50-74)","West","ZenaTech Inc.","USA","Baton Rouge","Other: AI and quantum drone research","EXPANSION","AI-driven drone solutions, drone-as-a-service, quantum drone research","Canada-based ZenaTech Inc., a business technology solutions provider specializing in AI drones and drone-as-a-service, is establishing a new AI and quantum drone research hub in Baton Rouge, Louisiana.","Baton Rouge lands ZenaTech’s new AI and quantum drone research hub - Baton Rouge Business Report","Baton Rouge Business Report","2025-10-23","https://news.google.com/rss/articles/CBMiqAFBVV95cUxPUDRPSEE3MWtIZmtZWXRrUmJZTWwyM0NTaURBNXFESXU1Z2Jpbmg3LXcxeUZ6eFctT0dZaUU4eVR6a1FkR0tJYThsMmIxU1dLZS04ZnYxa3FMSl85WjAwMkZjaXd6c1JvR252Wk5pU3pPVVpVQzFwSXBJVUN4Q1VqbkxwRmlPV0JLYXQzaXFyRjFudVJ1WXpIOWpfeGREaDZMbTV0bTJEeUvSAbABQVVfeXFMUHMyQkhkOGE3N1htZ2VrNzBNLVFkWVVKZVFUekQ0ZnVLbVVaTy1FQ04xb3hYRjRGRTlYcjZQTmM5VFFYbWJwdGpUVmF4ZndhTGJ1aUhTSWk1UHQyVEtab2FaWW5SQ3prMmJDU3ZwWmNMd1JaTWlTMFJjY1BzNk9oSEVZNkpVNU02XzJEbi02anVmVW01QzZUc0FXUmlRVXdOT1RUUWk3MDhaV0JQcU5iLWo?oc=5","No","Jordan Arceneaux (Author)","","No",""
"65","Strong Signal (50-74)","West","ZenaTech","USA","","Other: Surveying & Mapping","EXPANSION","Land Surveying and Mapping","ZenaTech acquired Florida-based A&J Land Surveyor to expand its Drones-as-a-Service (DaaS) offerings, indicating growth in drone operations for surveying.","ZenaTech acquires Florida-based A&amp;J Land Surveyor for DaaS expansion - Investing.com India","Investing.com India","2025-09-23","https://news.google.com/rss/articles/CBMivwFBVV95cUxOcmxZckRvNVIwdWYwejhBMTRRRk1SU0lHYndETF9yaDRqSEQxLTdTNVlNdFgxazl0NEt4eFNpSERuQzBpelpYSnJrLWxpSEdsY0RndTBfN0czTGRhMGpDTXRuX3lpSW10cGtXMXBsVzNfWWVZSHVOQzBVb2tHT3hGUFc3TXU2NFdzeGVVN3JJalZVR1ExcXVLNkVaRzRoR0tiSjBCTUJlYkdVVWxwVWt4dWl4eDdvT2xnTXA4Ni0yQQ?oc=5","No","","ZenaTech [operator]; A&J Land Surveyor [operator]","No",""
"65","Strong Signal (50-74)","East","Amazon","USA","Tolleson","Ports, Maritime & Logistics Hubs","DEPLOYMENT","Package Delivery","The NTSB released a preliminary report detailing an incident where two Amazon MK30 delivery drones collided with a mobile crane during commercial cargo flights near Tolleson, Arizona, resulting in a battery fire but no injuries.","NTSB Preliminary Report N579PA &amp; N791PA AMAZON MK30 delivery drones - sUAS News","sUAS News","2025-10-01","https://news.google.com/rss/articles/CBMioAFBVV95cUxNWGFQSGZBTWJ3blhpdG16UlVpeHRab1dYdDlTOW1KY1h5UWNhM2hzdHBPX1hfc0VZR0hJQTdfX2ZzMXVnck1ibWY2YXZISE55X3RZUkxhN3dSaHFPZ2hsMEJBM20xZmxwV1lhVE03bDRKbUFERl9DcHdXcHJDRWpPYi10c1NwcllGM0tWdF9QNFZfREljdm1hTHZmcDh3VlFy?oc=5","No","","Amazon [operator]; NTSB [regulator]","No",""
"65","Strong Signal (50-74)","East","Toledo police","USA","Toledo","Public Safety & Emergency Response","DEPLOYMENT","Drone as First Responder (DFR), scene assessment","Toledo police are deploying remote drones as first responders to assess scenes before officers arrive, indicating an active Drone as First Responder (DFR) program.","‘Drone as First Responder’: Remote drones can assess scenes before Toledo police arrive - WTVG","WTVG","2025-10-01","https://news.google.com/rss/articles/CBMitgFBVV95cUxOZHZxa0FMQ0ZPM2FsNGtOLVdfWjJBd1RwQzBkWWhCampodDF2SzlpQ0taSXF6MlpEdVVNanNPZzNJWVA5enZoWjJoWDFfSkNqZldWN0hPT1JPM1NWbks2MXVpZTBkY2R3MVVHZ0QxaFUtek5XNVdyUUZoa2U5dzhucnF5WURXY095YldGREx4alRoQmVzNG1jdlMwYzB5cFQxSGVnMFE4NXpmX21La3g2b2k3V0J1d9IBygFBVV95cUxPM1RtaFNWcXNrYXU1QVRXQlB6d19yLVVGNG8zQ2NWX3dwZ1F6amRTdnNxTVVaOVN6LUUxaXlvUU5ncC1TdmV5aGhya1Bja3VrdUhPV285dHlrd3IxMWVMam4zVFBfa25oSkd6QVpzQTlILXhpVEwzN3ZTZmxwZUYyaXZsNC1ZdVJsRTJKUnNnQzU0WEdfQkhZS3NRZmstR1NnV3JHcUtBQ01waXdfcHJPYXN1bms1OGxiODhLSVZjeU9YZlN0RC1MZ3ln?oc=5","No","","Toledo police [operator]","No",""
"65","Strong Signal (50-74)","East","Cincinnati police","USA","Cincinnati","Public Safety & Emergency Response","DEPLOYMENT","Law enforcement, suspect apprehension, surveillance","Cincinnati police released video footage demonstrating the successful use of a drone to assist in the arrest of a felony suspect.","Cincinnati police share video showing drone assisting arrest of felony suspect - WLWT","WLWT","2025-09-30","https://news.google.com/rss/articles/CBMikwFBVV95cUxOX0lBTjZFbkVRX0FGeVcxVnNZWXBBdWRhR1lhUlduSHhFQXh0Z2xIT1BkcVMxbFRUcW1hMDIwbS1iUV81ZTNLckJlSWdTSTZzMGJOcTBVOVQ4bGtCci1aZ0VUdUxPQkJQQURfSUJ5Zm9mT1JzOE1vRE1YdUFkbFh1NnNRcEZwLWtYWGVhUGNMbE1wLTg?oc=5","No","","Cincinnati police [operator]","No",""
