"Score","Band","Group","Company","Country","City","Industry","Signal Type","Use Case","Summary","Title","Publisher","Published Date","URL","FlytBase Mentioned","Key People","Key Entities","Is Duplicate","Drop Reason"
"60","Strong Signal (50-74)","West","Frisco Police","USA","Frisco","Public Safety & Emergency Response","CONTRACT","Drone Program","Frisco Police has secured $427,000 in funding for a new drone program, indicating a significant investment in expanding its public safety operations.","A New Era Of Public Safety: Frisco Police Secure $427,000 For Drone Program - Local Profile","Local Profile","2025-09-15","https://news.google.com/rss/articles/CBMijAFBVV95cUxNYXJ2cFE2akNsbFBXVjM1V2pYTS12SDZfMVNpbFNxVDZUQVdZY1ZOdGxGTER4LTRXeXpDNk1IMHVVLTJ4WElEMVBQU0VFVTlYaXlBTVJmTTV3cXd2QThyV0hfRkNxQ2dKZ0U3VlBpTTQ4SEl2NHZYVl9rTV9YeXBfNkpPUzFhQ01BbTlRc9IBkgFBVV95cUxOUEk4bk44X0RNWm5CWC1GRTVNU241N3VGU0lxbEg5VjBTbENpem5BTFdsamlQRXNPODc2UTRGSWhLcGM5QkluVGZNS085X2tNY0lEcnBNS1NlQ0NnNlAwaF9ZdDZ2cUFEVHBGNWJkQkp2SVpTRzlDZjRBMHhSOGk4aFJUZVFZdDhvOWgzdWFNUEE1Zw?oc=5","No","","Frisco Police [buyer]","No",""
"60","Strong Signal (50-74)","West","Sumathi IT","Sri Lanka","","Other: Drone-in-a-Box","PARTNERSHIP","Drone-in-a-Box operations","Sumathi IT in Sri Lanka is introducing the DJI Dock 3, indicating a potential role as a systems integrator or distributor for drone-in-a-box solutions.","Sri Lanka Latest Breaking News and Headlines - Print Edition Sumathi IT Introduces DJI Dock 3 - Daily Mirror - Sri Lanka","Daily Mirror - Sri Lanka","2025-10-23","https://news.google.com/rss/articles/CBMiiAFBVV95cUxOV3VKNlRtUG8tMmMyeHJHZ2Z6RXVZdGNHRnpRY2VUTjhyOTFxWW5ibWJtdTB2VVF3Y2ZIYTc5OWFDZUpOSXItczRsY0pDcDFWYTFGdUtMMjYtZFJzelhTbVJHTExFWEZ0cm1SSGw5dXNWVHg3Y2tUd0dmbUxGNENLSXNTdVVvTjJS?oc=5","No","","DJI [oem]","No",""
"60","Strong Signal (50-74)","West","DroneCloud","","","Construction & Infrastructure","DEPLOYMENT","Rail Inspections, BVLOS Operations","DroneCloud has received approval for UTM-based Beyond Visual Line of Sight (BVLOS) drone operations specifically for rail inspections, indicating a significant step towards active drone deployments.","DroneCloud approved for UTM-based BVLOS drone operations for rail inspections - Unmanned airspace","Unmanned airspace","2025-09-25","https://news.google.com/rss/articles/CBMixAFBVV95cUxPekxmSXVTQ1dYeGJIQ29yaDZTMVNvNmh5Yk5rdVQxQ3oyakJXN0ZKWXJBMHdab1pRTEJpamdkLVYwNDRKY295MVF0QkZkRnJJVzhZTU1JTWU3TmZxdF9vQ3g4QUZ4MWRtWFF4am44dDRJMnAtdzFDYXhJaHU0WTIteHE0U2VxTzViT1FsTW5CYWF1dGhmSEVyc2hNQ2FobWNhQmFGc0ItRi1lNlF2dmU4M3RTQmVLZXJ2U1BPQ3I0a2ZaTDY0?oc=5","No","","DroneCloud [partner]","No",""
"60","Strong Signal (50-74)","East","Met Police","England","London","Public Safety & Emergency Response","DEPLOYMENT","Drone as a First Responder (DFR), BVLOS trials, police drone use","A Temporary Danger Area has been established over Islington, London, for four days in October 2025, likely for a Metropolitan Police BVLOS drone-in-a-box (DIAB) or Drone as a First Responder (DFR) trial, affecting commercial flights.","London Drone Flyers – Temporary Danger Area Islington - sUAS News","sUAS News","2025-10-05","https://news.google.com/rss/articles/CBMijgFBVV95cUxQdVFVWlIxVXljZnhZRVFtQ0Y5S0NycDdGUDBCY1VaV0NSSURRYVJYbktuX2JuVVdsdmtPZXh6S0lzNFhYNHBpYXFOS3pnZXRTLTRES0VJM0FLeWx5bVVWODE1MExlY3VOZVEta2NfX3NFS21XMXFQNXA3TkRLVEhCbVExdVVURTJ6bTVyVC1R?oc=5","No","Gary Mortimer (Founder and Editor); David Walters (null)","Met Police [operator]; NPAS [operator]; Schiebel [oem]","No",""
"60","Strong Signal (50-74)","East","BlackSea","","","Other: Training & Certification","PARTNERSHIP","Drone operator training, certification","AUVSI has accredited BlackSea as the first training provider for its Trusted UMS Operator™ Certification, indicating a new partnership in drone operator training.","AUVSI Accredits BlackSea as First Training Provider for Trusted UMS Operator™ Certification - AUVSI","AUVSI","2025-09-30","https://news.google.com/rss/articles/CBMiugFBVV95cUxNaDJ1N1hHQXZLcWt6NElWQXVQM2VuSXBMWi1CWDJ1X2lJaDZRWjV4eUNOZV9IZ2JHZ3ltcDJDbzNoZFhROW5iRHpGX0twdlFIUVM4ekJ1OWltOUFadnE4SkZLdXZORVJwSE5nX2NBQVpOZDc4by1VTUtSUHVqOTNMMWFEY3FRaXJobWYtYUwwQnVYcDhzZjRxcmVNWnd2dXl6TGxCZWtHQXFpT1pCZURxaTJ2dnRCZnRtT3c?oc=5","No","","AUVSI [partner]; BlackSea [partner]","No",""
"60","Strong Signal (50-74)","East","Flock Safety","","","Perimeter Security & Smart Facilities","DEPLOYMENT","Automated security (Drone-in-a-Box)","","Flock Safety Launches Flock Aerodome™ Drone as Automated Security for Private Enterprises - Loss Prevention Magazine","Loss Prevention Magazine","2025-09-30","https://news.google.com/rss/articles/CBMivgFBVV95cUxNRUFtNmZnQmtOcUhIVW5xaFdLQ29TOVNTamh5Mk03enlHNldBY2h3ZTFxaDh2eGpnR1J2M3JxYWRZd0p4YUlUWXpFTlJBZ3BzbFJEUHcwclNiZUFrWEV3OXVNRHNLMTRzeGFWOC1tUXpXSFRrYjQ4SUFJdVBLVzA2NjZBRHZxdEg5R3hkZE1QaE5fV0Jla0RZaVp0dWhEemFDRngwbUFjTHZsT3ljMkNjS3F3ektlaHJSSzFBMkNB0gHGAUFVX3lxTE1qaGJlTDFkUVE3cWJaMWJ1a2FRQTdKQXdXNTJKRm9CRGJoMy1OOG5vWlhVbG5waVdBTjhheWZieGF0ZUxqWThraUVCSW9uY2pzU3VWbjZZVUh4Ql9RcTNfeUFZNWxEeHlKTVpVYVBuR21iVThpQkFtZGdzVVowM3l1MTU4YW9jNWFrQWwzWUt1ZXR3and0cERJNzJsRHJ5dmpjVEVTcDJGaGpFQ2lqM29NWkQtRllfMGFyZXZfa3ZvVHBfNE5KUQ?oc=5","No","","Flock Safety [operator]","No",""
"60","Strong Signal (50-74)","East","ZenaTech","USA","Orlando","Other: Drone as a Service (DaaS)","EXPANSION","","ZenaTech is expanding its Drone as a Service (DaaS) business by establishing a new global headquarters in Orlando.","ZenaTech Announces Establishment of Its Global Drone as a Service (DaaS) Business Headquarters in Orlando, Leveraging an Industry Growing at Over 36% Annually - Yahoo Finance","Yahoo Finance","2025-10-02","https://news.google.com/rss/articles/CBMilgFBVV95cUxNR3ZzWlZJT29WbmY2eVppS0xIUy1uMUdiRGhpcUJ1RFFZYUloWGR4WUxFZ3lpUXdVRVFFeXdycFBmaXJPN25LcHRmdXc2ekxEM2FKeUdIRUhXeDF3aHNzRmdtWi15VVdsOWswcS1EZFNZcHdQTkpubkRDWnlPMzdsZHY5RkI3VXMwa25jMUxvVkd1eG5OM2c?oc=5","No","","ZenaTech [operator]","No",""
"45","Weak Signal (25-49)","West","Miami Police","USA","Miami","Public Safety & Emergency Response","DEPLOYMENT","Search and Rescue (SAR)","Miami Police successfully deployed a drone as a first responder to locate and facilitate the rescue of an injured boater near the Venetian Causeway.","Miami Police rescues injured boater near Venetian Causeway - WSVN","WSVN","2025-09-16","https://news.google.com/rss/articles/CBMinwFBVV95cUxORDlGV1pPazF0WTBrZ3F0U2I4Y2UybExWOW9FMHd3ZEsxR056Q1R6NWhhRGJiTVBhTUJUSW5ELWVLWDZHSjUyYUhXYjh5RXBWcnB0NHJuTU1zS2JjWldFS0Y3dlUxVnA5U3pUajg0MnVndXc5V3ZBWGR3dEl1eGltczlSUFRyVXV2cWNsay1pUXNBNFprdFBUQ21vTTdSaVU?oc=5","No","","Miami Police [operator]","No",""
"45","Weak Signal (25-49)","West","Brooklyn Park Police Department","USA","Brooklyn Park","Public Safety & Emergency Response","EXPANSION","General policing, Manhunt, considering Drone as First Responder (DFR)","The Brooklyn Park Police Department, which has operated drones since 2023, is now considering evolving its program to a Drone as First Responder (DFR) model after insights gained from a recent manhunt.","What a Minnesota Manhunt Taught One Agency About Its Drones - GovTech","GovTech","2025-09-17","https://news.google.com/rss/articles/CBMilwFBVV95cUxONWEwQjZMYnpTRUNmSG5DblNXMURYUTlRWW1RS0wtSmVySEJtYm83WmdWZTZtdGtjR09NaWZmN2ZqMmg0WS1Ra2twcVRET1did0ZsZ1gwMVQ5dVZDcElEVGNTQkw1ZnJHZzktNXA0VHJUeUNobmZVTEJnZjBMRVhCZUxyMF9ZZkFKaG8wTmd5TGpLTlNseVBV?oc=5","No","Ryan Smith (Officer); Drew Evans (Superintendent); Brandy Gelle (Sgt., drone coordinator)","Brooklyn Park Police Department [operator]","No",""
"40","Weak Signal (25-49)","West","Miami Police","United States","Miami","Public Safety & Emergency Response","DEPLOYMENT","Search and Rescue, Maritime Surveillance, Emergency Response","Miami Police deployed their Drone First Responder unit to successfully locate an injured woman on a boat a mile offshore near the Venetian Causeway after ground and marine units were initially unsuccessful.","WATCH: Police drone finds boat with injured woman on board near Venetian Causeway - NBC 6 South Florida","NBC 6 South Florida","2025-09-16","https://news.google.com/rss/articles/CBMiuwFBVV95cUxQeTlGX0FMY2M4S2JMeDlJWVBjb01mM1N2cFNUOTd1Q2UyUjU0VUhTTXBMeUdSZ18wZzFSV2FDWXRyNU5UVXM5NHV4Z1BYclQ5eWRSMnpfUkNveENqaTNfamlta0RwVTRZdHpCc3lJREhBQUVxOU5oc205bzdmb2EyakNVVGo2VU1KMGtHN295ZnNCSVAxRWhLQkF1UmNxTm9xQk1TY0lzMEhtdDRrN3VEaHFDMjJsdmtiaWRj0gHDAUFVX3lxTE03TkdRd3V4YVBQTG5pcnZwQTFjaE5hcVBRNXpuVTBFMXZVSm01MXZTNW1FR054RmE2V0JyNG1XOC1UQ19Wdm9acUpTQkxxTzhwMG5BQk9Gb1JIR3g4SmhQOEJLZG01Q1FBLVdwNGhDUHdGX3dJTXQwckNGaXNuUDd5bzJ3M1ZFY2tGbUNJdUY0TkFiZ3NxR1EtbTdPSVp0c2JoLWY0cXpfRE1aN0xGZXNUNTA4SlZUT2doYnZ5WjhhYmdvVQ?oc=5","No","","Miami Police [operator]","No",""
"40","Weak Signal (25-49)","West","Clovis Police Department","USA","Clovis","Public Safety & Emergency Response","DEPLOYMENT","Drone as First Responder (DFR)","The Clovis Police Department is launching a new drone response program to enhance public safety operations.","Clovis Police flying into future with new drone response program - KMPH","KMPH","2025-09-17","https://news.google.com/rss/articles/CBMilwFBVV95cUxOOU1TUXVGSUxVbzZ3YzhXVFd6NHlpY2hyRlM5ZUhYeDVtTzA0Y3FHOXRqa0RpUHFkMnNhSXZoc0xUUmdIem9ZQVFfbDZRcG1sM1p5NVhKLWF5WnZXdi1KaUpJWGc0MGNGMW1YNEVRR0xoQ0JKNWVkSzZxY3AtdUNRdzl3ckFsbWptTlAzdkRCbFJUS2lyTmJF?oc=5","No","","Clovis Police Department [operator]","No",""
"40","Weak Signal (25-49)","West","Syracuse Police Department","USA","Syracuse","Public Safety & Emergency Response","EXPANSION","Drone as First Responder (DFR)","Syracuse Police Department is moving forward with its proposal to implement a new ""drone as first responder"" program, addressing public and council concerns.","Syracuse police leadership listens to Common Council concerns about new drone program - Central Current","Central Current","2025-09-17","https://news.google.com/rss/articles/CBMiswFBVV95cUxPa3lzSUFzRXF0YVlDYjkxMU9OUmJEc2lYVkhZWFhiUm9zRU10ZXU0Zng3NTVWeEIxQjJucVpGa0RNT2RMeXk3NlRSWkpSbHFHQnpGMERQU2MzcS1yRkN6TmVpdnpZMHg1OTdlM2p3Qk8zdTdoZ3RMb2NOWVZ5QVNkTnFhOEJOemlsLUZRMkhFRzFZR0FPMjZTMl9aRVJ5czQ3dFMxc1czUE1VV2tSWW4zYlhBMA?oc=5","No","Richard Shoff (Deputy Chief); Chol Majok (Councilor, Chair of Public Safety Committee); Helen Hudson (Council President); Corey Williams (Councilor); Brian Williams (Lieutenant)","Syracuse Police Department [operator]","No",""
"40","Weak Signal (25-49)","West","Lenexa Police","USA","Lenexa","Public Safety & Emergency Response","DEPLOYMENT","Suspect pursuit/capture","Lenexa police utilized a drone to successfully track and apprehend a suspect who fled from officers.","Lenexa police use drone to catch suspect who ran from officers - FOX4KC.com","FOX4KC.com","2025-09-18","https://news.google.com/rss/articles/CBMikAFBVV95cUxOb3dmLTkzUkppbmtPdkFyeVlkWDMxODVLMDh3czF6T3U1NG5Mb2F5endveExuZWRzVGg0MVlmMHNHY1J4bUk4NHYxdW05a0l2M0lmNVBBM25qdzV5dndYWmRvc041UmoxYXZvTDh5RlNBNFFsRFBfUTlrSkdXajlNZXN1SDVrRVFoZHFiSXQ5VTHSAZYBQVVfeXFMUGNnZzdDX2JzWEhkU1JxRFhzVmQ5bXJLb1BnSTVnQUVRbGJ2TVZxZlJULWctS2ZVanE2R2tKdEZPb05aZ2h5aHAwZ2k3NkVOS05JQmFDOTluYnJ2R2gwQ3lEalpYdmhUTmVzaXJUcWZCVk5NVVp6VjN5NDk2ejNDOGJDa3FLNWp6X21hUWtfbGt0X1RBaC1B?oc=5","No","","Lenexa Police [operator]","No",""
"40","Weak Signal (25-49)","West","ZenaTech","USA","Baton Rouge","Public Safety & Emergency Response","EXPANSION","AI-driven drone solutions for defense and homeland security","ZenaTech is establishing its Zena AI Division in Baton Rouge, Louisiana, to provide advanced AI-driven drone solutions specifically for US Defense and Homeland Security.","ZenaTech’s Zena AI Division for Advanced AI-Driven Drone Solutions for US Defense and Homeland Security to be Based in Baton Rouge, Louisiana - Yahoo Finance","Yahoo Finance","2025-10-23","https://news.google.com/rss/articles/CBMihwFBVV95cUxPRDF6ZHZ5WmZKMnN2X0N3RlcwcEplZzZ6YXdLR2ZjVVMybDBjZHExMkpVUGxYTG5VdVJCX0QyM3plcXBKRmplb1pNTHl1VjlVal9GTlNCd3pvM1ZPMkFaVGg4RU0wNEZVTE5qVU9yekFyN2JmQ3VEbFFleWZkWm5rc3pjeHZEYXM?oc=5","No","","US Defense [buyer]; Homeland Security [buyer]","No",""
"40","Weak Signal (25-49)","East","Worcester (City)","USA","Worcester","Public Safety & Emergency Response","EXPANSION","Public safety, general municipal drone operations","Worcester councilors are exploring the expansion of the city's existing drone program, likely for public safety or other municipal applications.","Worcester Councilors Seek Expanded Drone Program - This Week in Worcester","This Week in Worcester","2025-10-03","https://news.google.com/rss/articles/CBMif0FVX3lxTE9GSkF3TXl1TWlGQkRYTHFJenVNWWpVMFpDSVlHUE9ESHU4UWdRa1hBajlWaXBYTlFNWmRoMGE1a1lWem04ZXVaRW5hd1FZcmt4eU9oVElmUktrZ3Ziam4zaTRBTHpSMktoeXgwalVSdDhWX1NZc0RTSU5LVWVIQjA?oc=5","No","","Worcester Councilors [buyer]; Worcester (City) [operator]","No",""
"40","Weak Signal (25-49)","West","Toyota","United States","","Other: Automotive (Off-roading Assistance)","OTHER","Off-roading assistance (spotter drone)","Toyota is in discussions with the FAA regarding the deployment of small drones from its vehicles, such as the Tacoma TRD Pro, to serve as off-roading spotters for customers, indicating internal R&D and regulatory engagement for drone-assisted features.","Another Automaker Thinks Drones Flying From Cars Is A Good Idea - CarBuzz","CarBuzz","2025-10-08","https://news.google.com/rss/articles/CBMiVkFVX3lxTE1FcEhuTV9vbm0xN0F5QTJpQ1QxbGt6WGphQXRQTVhab1QzXzlBNzY3b1ZRRmF5ZFdyb3k4ZWFveHRjWWJKNEpuNjdJRUJkaUI3emRkSFZB?oc=5","No","Evan Williams (automotive journalist and mechanical engineering technologist)","Toyota [operator]; FAA [regulator]","No",""
"35","Weak Signal (25-49)","West","LMPD","USA","Louisville","Public Safety & Emergency Response","DEPLOYMENT","Drone First Responder (DFR), crime interdiction","The Louisville Metro Police Department (LMPD) is actively using its Drone First Responder (DFR) program, which recently aided in catching thieves attempting to steal an AC unit.","LMPD's Drone First Responder program helps catch thieves trying to steal $4K AC unit - WLKY","WLKY","2025-10-24","https://news.google.com/rss/articles/CBMimAFBVV95cUxPaHJpWUVQY3pJRk9PWVU1UENnLXFIVk5nWXo2WmpKdXl5bWlSVDh5LXNsa1QzQkVESjBXTmkxYmt3cVF2cHhLLUt4OVBnbVJmR2UtbEFlMzdsNzhXYjhyZGd6UmF5UldBd0JqN1R6ZEhScV9ONEV1X294Ull1a2xEbWIyWVFYbFBMbWp4SnNUeDRxYW5RVk1kVw?oc=5","No","","LMPD [operator]","No",""
"35","Weak Signal (25-49)","West","Heliguy","United Kingdom","","Public Safety & Emergency Response","OTHER","Infrastructure surveying, commercial delivery, emergency services","The UK Civil Aviation Authority published an updated BVLOS drone roadmap to enable routine operations by 2027, covering use cases like emergency services and infrastructure surveying, with Heliguy offering training and regulatory support.","UK CAA publishes updated Future of Flight BVLOS drone roadmap - Heliguy","Heliguy","2025-10-21","https://news.google.com/rss/articles/CBMikgFBVV95cUxOejNmQm9YaDlQaFM0RUl2bE1OTkJqR0xvam4yUC1uSE11cVVtNkYzVGlsOW1DOWVTTUhBeVhvWFloU3RaMmlSNXMtR1dvZjh6TTZEQy1WRUphN3NCaVRqQnZHdUxycGtaYWJnVUtKcmFTTFZMQXFIbVdZNi1RU3kxbjFpVzBiRUM5SjU2dmtaSnY2QQ?oc=5","No","James Willoughby (Author); Sophie O'Sullivan (Director, Future, Safety and Innovation)","UK Civil Aviation Authority [regulator]; NHS [buyer]; DJI [oem]","No",""
"30","Weak Signal (25-49)","West","Huntsville Police","USA","Huntsville","Public Safety & Emergency Response","OTHER","General Policing/Surveillance (controversial)","Huntsville police are reportedly using drones, which has drawn public concern, though a councilman denies spying.","Huntsville police using drones to spy on people? No, says councilman - AL.com","AL.com","2025-09-15","https://news.google.com/rss/articles/CBMitAFBVV95cUxNT2RFMDlhWTIzYlJ4Nzd6ZWdkU3BETzlpMGE2S0Vhc0NYRW1fempjaTQ2QTJsOU1vSjlkSVJxWUxYcUZibnFGNFA3S2xLcWRmRXdtZENRUVFDS0VfUnFUTWJhYUFzMHhFVmtHZUdQX0xHVm9KOU44S2VVX1JNMldfZlZYU2pCQTU5elpDS3ROdnNEeGtILTk1MXo1UmVXWjdNa2tvWndYREVkTGR0VU9DWC1pSEo?oc=5","No","","Huntsville Police [operator]","No",""
"30","Weak Signal (25-49)","West","Syracuse Police Department","USA","Syracuse","Public Safety & Emergency Response","DEPLOYMENT","Drone as First Responder (DFR)","The Syracuse Police Department is actively pursuing plans to implement a ""drone as first responder"" program, seeking to purchase hardware and software from Axon Enterprises despite facing public opposition and scrutiny.","Residents rail against Syracuse police’s proposed drone program at sparsely attended public hearing - Central Current","Central Current","2025-09-15","https://news.google.com/rss/articles/CBMixAFBVV95cUxPY1NBc0tPLTN4cXR6UmJWNGlsNzRfeElndU1iX1NLbXhIUlo0blRUUFVXZ213LXdtNVNTc0FFZEtpYUY5am1qOXRQR0ZwN2M4ekJ3RGE0U0ZWS2tUVGFiaDJxZUllc0RUTTdOeVhfN3V2WFNRb0FKaTdvdko5eHNXa25SUEpOc1V6SEE5MVZpRHZSZnE0RlNlVlZWTUI5SkxRYVBPYTY0Z0FGR2t5dHYwaE9ublJheENaMGh3WFBqSnd3Zzcy?oc=5","No","Barrie Gerwanter (Resident); Helen Hudson (Council President); Patrick McCarthy (Reporter)","Syracuse Common Council [regulator]; Axon Enterprises [partner]; Syracuse Police Department [operator]","No",""
"30","Weak Signal (25-49)","West","Syracuse Police Department","USA","Syracuse","Public Safety & Emergency Response","OTHER","Policing/public safety","A proposed drone program by the Syracuse Police Department is currently stalled due to community concerns, preventing its takeoff.","Community concerns keep proposed Syracuse drone program grounded - Spectrum News","Spectrum News","2025-10-20","https://news.google.com/rss/articles/CBMinAFBVV95cUxPSWgxcWxEQjUyWVFsQ2V5d0psRTFfMkF3U2JLTzk1R29vNVRyMHJnUlVWQV96LWRWczFEUkYxSHpDWmRHZEZ3clBkNGxRZlg0SE1YQzV1N1dROERtUHJwMW9SbE1hLUFVODdxT2g1Um1HNkpOVERIbmdWYmlIN2g5cGdPZUdOMndMNUExMFRZakxrSENGcjZZeTlnRXA?oc=5","No","Natalie Mooney (null)","Syracuse Police Department [operator]","No",""
"30","Weak Signal (25-49)","West","ZenaTech","USA","Baton Rouge","Public Safety & Emergency Response","EXPANSION","AI-driven drone solutions","ZenaTech is establishing a new AI Drone Division in Baton Rouge, Louisiana, likely to offer advanced drone solutions for homeland security.","ZenaTech Selects Baton Rouge For New AI Drone Division - Homeland Security Today","Homeland Security Today","2025-10-23","https://news.google.com/rss/articles/CBMiowFBVV95cUxOZllrWUFNUDV2SmY4U2Y0aThEbnAzY1QxVk1DT0cwZXc1bE9tVGdaYzV1WEJDYnNHZk5mZnpMTnhSZlAyYmNCVlQ3a21qUkluR21kYklJSkNwVGZKMDl3eEpWQ2h0ZjRWVEI4cUR0VmNZQWlpOWZMeS1GeGtyaVFtTEliaHVwZ2h1UENVSDZCUVF0SjdTMUk5ekF1Qnk5b3Q5VElR?oc=5","No","","","No",""
"30","Weak Signal (25-49)","West","ZenaTech","USA","Baton Rouge","Public Safety & Emergency Response","EXPANSION","AI-driven drone solutions for defense","ZenaTech is establishing a new AI drone defense division in Baton Rouge, Louisiana, to focus on solutions for military and security applications.","ZenaTech selects Baton Rouge for new AI drone defense division - Investing.com","Investing.com","2025-10-23","https://news.google.com/rss/articles/CBMiuwFBVV95cUxQY0FiVVJwaXN0NFJlTUk2eC0wdFNGRUQ3ZUpaUlltdzg1VTVSSjZ2SmJnc18ydTlOX2pISlowTVNWZ2l6UHIxcF9tYld2RGlRS2pWaWZKVDhLVEM1MlZMamFXdW5lcGp4OExCQzBWSDRYSFRTQmdyYk9LWDlEai1lakhiOHdEa2xJRWZ2Y2kzbjNCZ2Y1QU85dnJ1T1BBSHNPZEdKYWhwQWptOUo4ai0tWEp1d0xhU0ZjYW9r?oc=5","No","","","No",""
"30","Weak Signal (25-49)","East","Ondas Holdings","","","Other: Autonomous Systems Infrastructure","OTHER","","","Ondas Holdings: Autonomous Infrastructure In Place For Inflection, But Valuation Warrants Vigilance - Seeking Alpha","Seeking Alpha","2025-10-02","https://news.google.com/rss/articles/CBMi2gFBVV95cUxObGNYTi0yYXZKSTh0Yzl0a3hCcFVGWEJJZFZMeG9BT2hoZjZ1QklEZU1tS3pSZVl5RndGc2V3anFXb29LTEk3RmgzSEhkNzhCc2F1d3lCQUVYTXd0RURuZ0NCSjhZVXRaR2xRQWVqbzhCaGMzRXBOdVB0WWVicTh0OFV6TkhFSjR3QkJ1b0FrRWV1cXdQM0JNdmdJRHpIM0p2QzhkX1V4anozdVQzQVN5THNqbVRHRGlnUzdfV21KekRVcVRja2FtN0xmN2otb1dndDhuMFdXaDllZw?oc=5","No","","Ondas Holdings [other]","No",""
"25","Weak Signal (25-49)","West","Clovis Police","USA","Clovis","Public Safety & Emergency Response","DEPLOYMENT","Surveillance / Law Enforcement Support","The Clovis Police Department utilized a drone to assist in the arrest of a repeat shoplifter.","Clovis Police utilize drone to assist in arrest of repeat shoplifter - ABC30 Fresno","ABC30 Fresno","2025-09-25","https://news.google.com/rss/articles/CBMilwFBVV95cUxOeVY5WXJjcTUwLVpmY0t4bnJaaG5nTHNrZTZVTXg2bktJWVNhS2lmWE5iX0dOWmF0VHVDT04xUE5IZFZ5NXdlTE0wQ29YN1hZZ01FQ3RuN19na2tseV9rLUN2aGRyQ1JqN2IweFRyOUt1OUJLdFVqZkxQOFdRaWRZdE9FcVdMZ0ZTYUtIdHQ1dHA1ZzhmeEdJ0gGcAUFVX3lxTE5mWDVYZTQ1TFppVm9DTDlaUWlzdmlReXdIR2hxV1V5bnVEdERoaFp0RFFlalcyRV9kTXdtMEgtY09HVkVxdlVOTmdQMnl2WTcxQ1lWaTg4Nzhud3NWODJkOVlyYXktUlZpUXFreVcycV91dW9nS3Vja2VJYTUtN0IxM0lCd09kZGNjYkNxeGhjb2F5ckJubF9pdXc0bQ?oc=5","No","","Clovis Police [operator]","No",""
"25","Weak Signal (25-49)","West","Clovis Police","USA","Clovis","Public Safety & Emergency Response","DEPLOYMENT","Surveillance / Law Enforcement Support","The Clovis Police Department used a drone to track and help arrest a shoplifting suspect.","Clovis Police Drone Tracks, Helps Arrest Shoplifting Suspect - GV Wire","GV Wire","2025-09-24","https://news.google.com/rss/articles/CBMilAFBVV95cUxOUWtlNEpWYnVsUHNjRGw0WDhPTmo1MkJiRW1GYW1Lay11ZGF4MGp6WlFGQk15TE1Sd182V29udW8xM3kyaHNES2VlcEg2UEV2ZHJpWHIzUnlMeDdnM1dBS1VRVWtnZTBoYzllV0ZWYkNLaGs3c1lHUjBrd1dCQ1VIRndxSHk4UUlRVUFMY2NxLWtzRDJu?oc=5","No","","Clovis Police [operator]","No",""
"25","Weak Signal (25-49)","West","Clovis Police","USA","Clovis","Public Safety & Emergency Response","DEPLOYMENT","Surveillance / Law Enforcement Support","Clovis police utilized a drone to assist in catching a shoplifter at Walmart.","Clovis police drone helps catch Walmart shoplifter - KMPH","KMPH","2025-09-24","https://news.google.com/rss/articles/CBMihAFBVV95cUxPaGVpMmJrY2JSRTVLZEFuMk15U2p0cHVfTXhHdkl1NnhyNWtacFlOREcxVlEzdE5JZngza2FCZmxqWlVYc3ROcjJ4UjkzejU5RmJEWHlQTjZJR0hIZUxLcDdRRzNoZXBubFhqWGNFODBxenE2LXVlZmRxSUlMazY5UE0xU3A?oc=5","No","","Clovis Police [operator]; Walmart [buyer]","No",""
"25","Weak Signal (25-49)","West","Clovis Police","USA","Clovis","Public Safety & Emergency Response","DEPLOYMENT","Surveillance / Law Enforcement Support","A drone assisted Clovis police with the arrest of a known shoplifter.","Drone assists with arrest of ‘known shoplifter’ in Clovis, police say - yourcentralvalley.com","yourcentralvalley.com","2025-09-24","https://news.google.com/rss/articles/CBMifEFVX3lxTFB6WFJhTEs4RHliMDZFZDVWaTFrRjhIUVdnR3BNcC1FVG1QRVFyQm5sREdmSkZxVjJGRG9QdURDMUhKaWZEajVRTUZPaTB1ZTYtNDIxRnlwRkJ4UmotcjVGOENha25kbXhNcUt3ekhEWlVTclRxc25aRTNGREnSAYIBQVVfeXFMTmFOVTJ4SkVKYWFGUzNYWmVlRTFBSkhucHluNGVOeXBHa2hPdS01OEZHNHpBOUpwUDBzN2RORWdUMXhDM3NVMl9udXJiTmpuWm5mYVhyWFp1WUg2aVVYcEUzTzlXdEJKTThIbnU5SUVBb2FRcnhEWlhERHZXejUtUExrdw?oc=5","No","","Clovis Police [operator]","No",""