#,Priority Tier,Company,Score,Region,Industry,Website,HQ / Office Location,LinkedIn URL,LinkedIn Followers,Partnership Priority Score,Scoring Notes
1,🔴 HOT,Flock Safety,0.75,—,Perimeter Security & Smart Facilities,https://www.flocksafety.com,"Atlanta, Georgia, USA",https://www.linkedin.com/company/flock-,"~92,000",85,"High followers (92K), Americas HQ, Deployment signal, Security industry, Commercial DSP"
2,🔴 HOT,Volatus Aerospace Inc.,0.75,North America,Energy & Utilities,https://volatusaerospace.com,"Mirabel, Quebec, Canada",https://ca.linkedin.com/company/volatus-aerospace,"~16,700",78,"Good followers (16.7K), Americas HQ, Contract signal, Energy industry, Commercial DSP"
6,🔴 HOT,National Police Air Service (NPAS),0.65,UK,Public Safety & Emergency Response,https://www.npas.police.uk,"Wakefield, West Yorkshire, UK",https://uk.linkedin.com/company/national-police-air-service,"~5,600",72,"Moderate followers (5.6K), Europe HQ, Deployment signal, Public Safety, Gov agency"
15,🔴 HOT,Garuda Aerospace,0.4,India,Public Safety & Emergency Response,https://www.garudaaerospace.com,"Chennai, Tamil Nadu, India",https://in.linkedin.com/company/garuda-aerospace-private-limited,"~138,000",70,"High followers (138K), India HQ, Deployment signal, Public Safety, Large drone co."
16,🔴 HOT,Marut Dronetech,0.4,India,Public Safety & Emergency Response,https://marutdrones.com,"Hyderabad, Telangana, India",https://in.linkedin.com/company/marutdrones,"~25,500",65,"Good followers (25.5K), India HQ, Deployment signal, Public Safety, Commercial DSP"
22,🔴 HOT,AERONEX (Aeronex FZCO),,China / UAE,Deployment & Expansion,https://www.aeronex.ae,"Dubai, UAE",https://ae.linkedin.com/company/aeronex-fzco,"~4,300",75,"Moderate followers (4.3K), ME HQ, Deployment/Expansion signal, DJI master reseller ME"
23,🔴 HOT,SkyBound,,UK,Expansion,https://www.skybound.tech,"Southampton, UK",https://uk.linkedin.com/company/skyboundtech,"~3,600",78,"Good followers (3.6K), Europe HQ, Expansion signal, Infrastructure/Public Safety, Tech platform"
25,🔴 HOT,24/7 Drone Force,,South Africa,Public Safety & Emergency Response,https://24-7droneforce.co.za,"Sandton, Gauteng, South Africa",https://za.linkedin.com/company/24-7-drone-force,"~5,600",68,"Good followers (5.6K), Africa HQ, Deployment signal, Security, Commercial DSP"
28,🔴 HOT,Terra Drone Arabia,,Saudi Arabia,Deployment,https://terra-drone.com.sa,"Al Khobar, Saudi Arabia",https://sa.linkedin.com/company/terra-drone-sa,"~4,700",65,"Moderate followers (4.7K), ME HQ, Deployment signal, Oil & Gas/Infra, Terra Drone subsidiary"
36,🔴 HOT,Team UAV,,UK,Other,https://www.teamuav.uk,"Bromsgrove, Worcestershire, UK",https://uk.linkedin.com/company/teamuav,"~8,200",72,"Good followers (8.2K), Europe HQ, Other signal, Infrastructure/Inspection, Established UK DSP"
40,🔴 HOT,FDNY,,USA,Other,https://www.nyc.gov/fdny,"New York City, NY, USA",https://www.linkedin.com/company/new-york-city-fire-department,"~42,500",70,"High followers (42.5K), Americas HQ, Other signal, Public Safety, Largest fire dept USA"
41,🔴 HOT,BlackSea Technologies,,USA,Partnership / Training,https://blackseatechnologies.com,"Annapolis, Maryland, USA",https://www.linkedin.com/company/blacksea-technologies,"~8,000",68,"Good followers (8K), Americas HQ, Partnership signal, Defense/Maritime autonomy, Defense-tech"
3,🟡 WARM,Fuvex,0.75,Spain,Oil & Gas / Industrial Assets,https://www.fuvex.com,"Tudela, Navarra, Spain",https://www.linkedin.com/company/fuvex,"~2,400",62,"Low followers (2.4K), Europe HQ, Expansion signal, Oil & Gas industry, Commercial DSP"
4,🟡 WARM,Falcon Unmanned Systems,0.65,USA,—,https://www.falconunmannedsystems.com,"Dyer, Indiana, USA",https://www.linkedin.com/company/falcon-unmanned-systems,<50,55,"Very low followers, Americas HQ, Deployment signal, no industry tag, Small DSP"
5,🟡 WARM,Prosper Police Department,0.65,USA,Public Safety & Emergency Response,https://www.prospertx.gov,"Prosper, Texas, USA",—,—,48,"No LinkedIn, Americas HQ, Deployment signal, Public Safety, Government dept"
7,🟡 WARM,ZenaTech,0.65,USA,Construction & Infrastructure,https://www.zenatech.com,"Toronto, Ontario, Canada",https://ca.linkedin.com/company/zenatechinc,"~2,800",52,"Low followers (2.8K), Americas HQ, Expansion signal, Construction, Public Company"
8,🟡 WARM,Frisco Police Department,0.65,USA,Public Safety & Emergency Response,https://www.friscotexas.gov,"Frisco, Texas, USA",—,—,45,"No LinkedIn, Americas HQ, Contract signal, Public Safety, Government dept"
9,🟡 WARM,Prosper,0.65,USA,Public Safety & Emergency Response,https://www.prospertx.gov,"Prosper, Texas, USA",—,—,45,"No LinkedIn, Americas HQ, Contract signal, Public Safety, Government dept"
13,🟡 WARM,Oil Well Security,0.4,—,—,https://oilwellsecurity.com,"Severance, Colorado, USA",https://www.linkedin.com/company/oil-well-security,~155,52,"Very low followers (155), Americas HQ, Deployment signal, Oil & Gas, Small DSP"
14,🟡 WARM,Amber Wings,0.4,India,Public Safety & Emergency Response,https://www.amberwings.co,"Chennai, Tamil Nadu, India",https://in.linkedin.com/company/amber-wings-co,"~4,000",58,"Low followers (4K), India HQ, Deployment signal, Public Safety, Commercial DSP"
17,🟡 WARM,AECA Solutions,0.4,Malaysia,—,https://www.aeca-solutions.com,"Subang Jaya, Selangor, Malaysia",https://www.linkedin.com/company/aecasolutions,"~1,865",50,"Low followers (1.9K), Asia-Pacific HQ, Partnership signal, Geospatial/Mapping, DSP"
18,🟡 WARM,Prisma Technologies,0.4,Australia,—,https://prismatech.com.au,"North Wollongong, NSW, Australia",https://au.linkedin.com/company/prisma-technologies-australia,~457,48,"Very low followers (457), Asia-Pacific HQ, Deployment signal, Industrial drones, DSP"
19,🟡 WARM,AeroSmart,0.4,United Arab Emirates,—,https://www.aerosmart.ae,"Bur Dubai, Dubai, UAE",https://ae.linkedin.com/company/aerosmartuav,"~4,300",60,"Moderate followers (4.3K), ME HQ, Deployment signal, Mixed, DJI reseller/DSP"
26,🟡 WARM,VEC International FZCO,,United Arab Emirates,Deployment,https://www.dronenet.ae,"Dubai, UAE",https://ae.linkedin.com/company/vec-international-fzco,~381,58,"Very low followers (381), ME HQ, Deployment signal, Mixed, DJI Enterprise Agent"
29,🟡 WARM,Heliboss Chile (DJI Enterprise ASC),,Chile,Other Drone Distribution,https://djichile.cl,"Providencia, Santiago, Chile",https://cl.linkedin.com/company/dji-enterprise-heliboss-chile,"~3,040",55,"Good followers (3K), Americas HQ, Partnership signal, DJI distributor for LATAM"
32,🟡 WARM,DroneCloud,,UK,Construction & Infrastructure,https://dronecloud.io,"London, UK",https://uk.linkedin.com/company/dronecloudhq,"~1,340",50,"Low followers (1.3K), Europe HQ, Deployment signal, SaaS Drone Mgmt Platform, UK"
33,🟡 WARM,Cody Corporation,,Australia,Construction & Infrastructure,https://codycorp.com.au,"Dudley Park, South Australia",https://au.linkedin.com/company/cody-corporation,~627,55,"Low followers (627), Asia-Pacific HQ, Partnership signal, Construction/Survey, Distributor AU"
39,🟡 WARM,Dexa (Drone Express),,USA,Deployment,https://www.flydexa.com,"Dayton, Ohio, USA",https://www.linkedin.com/company/flydexa,"~3,460",62,"Moderate followers (3.5K), Americas HQ, Deployment signal, Drone delivery, FAA Part 135"
10,🟢 PROSPECT,West Midlands' water company,0.65,UK,—,https://www.south-staffs-water.co.uk,"Birmingham, West Midlands, UK",—,—,40,"No LinkedIn, Europe HQ, Deployment signal, Utilities, Government utility"
11,🟢 PROSPECT,Toledo police,0.65,USA,Public Safety & Emergency Response,https://www.toledo.oh.gov/services/police,"Toledo, Ohio, USA",—,—,40,"No LinkedIn, Americas HQ, Deployment signal, Public Safety, Government dept"
12,🟢 PROSPECT,Cincinnati police,0.65,USA,Public Safety & Emergency Response,https://www.cincinnati-oh.gov/police,"Cincinnati, Ohio, USA",—,—,40,"No LinkedIn, Americas HQ, Deployment signal, Public Safety, Government dept"
20,🟢 PROSPECT,Droneologist,0.4,United Arab Emirates,—,https://droneologist.co.uk,"Crawley, West Sussex, UK",https://uk.linkedin.com/company/droneologist,~712,45,"Low followers (712), Europe HQ, Deployment signal, No industry, Small DSP"
21,🟢 PROSPECT,Drone Force,,Public Safety Emergency Response,Public Safety & Emergency Response,—,—,https://www.linkedin.com/company/drone-force-usa,~46,30,"Very low followers (46), Americas HQ, Deployment signal, Public Safety, Cleaning DSP"
24,🟢 PROSPECT,Moline Police Department,,USA,Public Safety & Emergency Response,https://www.moline.il.us/96/Police,"Moline, Illinois, USA",—,—,40,"No LinkedIn, Americas HQ, Deployment signal, Public Safety, Government dept"
27,🟢 PROSPECT,Sky Ladder Drones,,United Arab Emirates,Deployment,https://skyladderdrones.com,"Torrance, CA, USA",https://www.linkedin.com/company/sky-ladder-drones,~443,42,"Very low followers (443), Americas HQ, Deployment signal, DSP - listed as UAE in CSV"
30,🟢 PROSPECT,Heliboss México,,Chile / Mexico,Other Drone Distribution,—,—,—,—,25,"No data, LATAM, Partnership signal, Distribution, Limited info available"
31,🟢 PROSPECT,GS5 Systems,,—,—,https://gs5.systems,—,https://www.linkedin.com/company/gs5-systems,~14,22,"Very low followers (14), Unknown HQ, Partnership signal, Security, Very small company"
34,🟢 PROSPECT,Hehuayuan Subdistrict Office,,China,Deployment,—,"Changsha, China",—,—,15,"No LinkedIn, China, Deployment signal, Government subdistrict office, Not a DSP"
35,🟢 PROSPECT,XDRON,,UAE,Partnership,https://www.xdron.ae,"Dubai, UAE",https://www.linkedin.com/company/xdronuae,~112,38,"Very low followers (112), ME HQ, Partnership signal, Agriculture/Public Safety, UAE startup"
37,🟢 PROSPECT,Anji County,,China,Expansion,—,"Anji County, Zhejiang, China",—,—,15,"No LinkedIn, China, Expansion signal, Government entity, Not a DSP"
38,🟢 PROSPECT,Austintown Fire Department,,USA,Deployment,https://www.austintownfd.com,"Austintown, Ohio, USA",—,—,38,"No LinkedIn, Americas HQ, Deployment signal, Public Safety, Fire Dept"
42,🟢 PROSPECT,Connolly Hospital,,Ireland,Deployment,https://www.connollyhospital.ie,"Blanchardstown, Dublin, Ireland",—,—,25,"No LinkedIn, Ireland, Deployment, Hospital, End-user/pilot partner not DSP"
43,🟢 PROSPECT,Met Police,,England,Public Safety & Emergency Response,https://www.met.police.uk,"London, England, UK",https://www.linkedin.com/company/metropolitan-police-service,—,40,"No LinkedIn, Europe HQ, Deployment signal, Public Safety, Major police force"